model,layer,head,prev_token_score,prev_token_pct,prev_token_top10,induction_score,induction_pct,induction_top10,duplicate_score,duplicate_pct,duplicate_top10,successor_score,successor_pct,successor_top10,copy_suppression_score,copy_suppression_pct,copy_suppression_top10,n_roles,roles
residual,0,0,0.16650399565696716,0.7176634073257446,0,0.025756999850273132,0.607788622379303,0,0.02835099957883358,0.7691237926483154,0,-0.02566099911928177,0.11682892590761185,0,-0.01066100038588047,0.19332405924797058,0,0,
residual,0,1,0.1788329929113388,0.7719054222106934,0,0.028258999809622765,0.6648122668266296,0,0.028564000502228737,0.7732962369918823,0,-0.14822299778461456,0.012517385184764862,0,0.09526900202035904,0.9902642369270325,1,1,copy_suppression
residual,0,2,0.15685999393463135,0.6675938963890076,0,0.027434999123215675,0.6467315554618835,0,0.029906999319791794,0.8108484148979187,0,0.003109999932348728,0.48678719997406006,0,-0.02397499978542328,0.09040334075689316,0,0,
residual,0,3,0.1614989936351776,0.6912378072738647,0,0.026778999716043472,0.6342141628265381,0,0.032012999057769775,0.8358832001686096,0,0.20276400446891785,0.9888734221458435,1,0.06662999838590622,0.9833101630210876,0,1,successor
residual,0,4,0.1501459926366806,0.6175243258476257,0,0.02737399935722351,0.6439499258995056,0,0.029083000496029854,0.7872044444084167,0,-0.06990599632263184,0.05006954073905945,0,-0.0015239999629557133,0.40194714069366455,0,0,
residual,0,5,0.1654050052165985,0.7148817777633667,0,0.026931999251246452,0.635604977607727,0,0.029311999678611755,0.7983310222625732,0,0.036903999745845795,0.8623087406158447,0,-0.020999999716877937,0.10987482964992523,0,0,
residual,0,6,0.16699199378490448,0.7204450368881226,0,0.026305999606847763,0.6258692741394043,0,0.028335999697446823,0.7677329778671265,0,0.27072200179100037,0.9930459260940552,1,0.0014479999663308263,0.5396384000778198,0,1,successor
residual,0,7,0.1610109955072403,0.6842837333679199,0,0.02831999957561493,0.6662030816078186,0,0.02937299944460392,0.7997218370437622,0,-0.06270900368690491,0.0556328222155571,0,0.018371999263763428,0.8595271110534668,0,0,
residual,0,8,0.15307599306106567,0.6411682963371277,0,0.026138000190258026,0.6203059554100037,0,0.029556000605225563,0.8038942813873291,0,-0.02319899946451187,0.12378302961587906,0,0.032554998993873596,0.9318497776985168,0,0,
residual,0,9,0.1693120002746582,0.732962429523468,0,0.027984999120235443,0.65785813331604,0,0.02894599922001362,0.7816411852836609,0,0.008520999923348427,0.6091794371604919,0,-0.032370999455451965,0.06954102963209152,0,0,
residual,0,10,0.15893599390983582,0.6731571555137634,0,0.028168000280857086,0.6620305776596069,0,0.02893099933862686,0.7802503705024719,0,-0.16567599773406982,0.00834492314606905,0,0.03015900030732155,0.9221140742301941,0,0,
residual,0,11,0.1696780025959015,0.7413073778152466,0,0.025817999616265297,0.6091794371604919,0,0.030791999772191048,0.8233658075332642,0,0.014387999661266804,0.6870653629302979,0,-0.00107999995816499,0.4186370074748993,0,0,
residual,0,12,0.1618649959564209,0.6954103112220764,0,0.02622999995946884,0.6230876445770264,0,0.02897600084543228,0.7830320000648499,0,-0.067671999335289,0.05285118147730827,0,-0.004662000108510256,0.30180805921554565,0,0,
residual,0,13,0.15344199538230896,0.6439499258995056,0,0.026290999725461006,0.6244784593582153,0,0.028914999216794968,0.778859555721283,0,0.04539699852466583,0.8929068446159363,0,0.004650000017136335,0.6564673185348511,0,0,
residual,0,14,0.16613799333572388,0.7162725925445557,0,0.02725199982523918,0.6397774815559387,0,0.029678000137209892,0.806675910949707,0,-0.023892000317573547,0.11961057037115097,0,-0.0033259999472647905,0.33101528882980347,0,0,
residual,0,15,0.16125500202178955,0.6884561777114868,0,0.02772499993443489,0.6509040594100952,0,0.029190000146627426,0.7927677035331726,0,0.01722799986600876,0.7301807999610901,0,-0.020075000822544098,0.11543811112642288,0,0,
residual,0,16,0.1523440033197403,0.6300417184829712,0,0.02584799937903881,0.6105702519416809,0,0.03164700046181679,0.831710696220398,0,0.03452900052070618,0.8497913479804993,0,0.022495999932289124,0.8859527111053467,0,0,
residual,0,17,0.1696780025959015,0.7399165630340576,0,0.027389999479055405,0.6453407406806946,0,0.027816999703645706,0.7635604739189148,0,0.008290000259876251,0.6063977479934692,0,-0.02382799983024597,0.09179415553808212,0,0,
residual,0,18,0.1610109955072403,0.6856745481491089,0,0.027130000293254852,0.6383866667747498,0,0.029099000617861748,0.7885952591896057,0,-0.028586000204086304,0.10848400741815567,0,0.008558999747037888,0.7357441186904907,0,0,
residual,0,19,0.16699199378490448,0.7218359112739563,0,0.0277709998190403,0.6522948741912842,0,0.029296999797225,0.7969402074813843,0,-0.008934999816119671,0.22114047408103943,0,-0.016915999352931976,0.1293463110923767,0,0,
residual,1,0,0.28662100434303284,0.9721835851669312,0,0.03683499991893768,0.7246175408363342,0,0.014839000068604946,0.46453407406806946,0,-0.023287000134587288,0.1223922148346901,0,0.006876000203192234,0.7162725925445557,0,0,
residual,1,1,0.19152800738811493,0.8150208592414856,0,0.02192699909210205,0.5396384000778198,0,0.013016000390052795,0.3991655111312866,0,-0.02950900048017502,0.10709318518638611,0,-0.013554000295698643,0.15438108146190643,0,0,
residual,1,2,0.2009280025959015,0.8553546667098999,0,0.021254999563097954,0.5243393778800964,0,0.016479000449180603,0.5173852443695068,0,-0.11837700009346008,0.02364395000040531,0,-0.06471899896860123,0.0333796925842762,0,0,
residual,1,3,0.18029800057411194,0.778859555721283,0,0.021957000717520714,0.5410292148590088,0,0.005417000036686659,0.20166897773742676,0,0.015061999671161175,0.7009735703468323,0,-0.0015920000150799751,0.4005563259124756,0,0,
residual,1,4,0.16369600594043732,0.7065368294715881,0,0.01915000006556511,0.47566065192222595,0,0.010154999792575836,0.3226703703403473,0,-0.022595999762415886,0.12656466662883759,0,-0.0012710000155493617,0.41307371854782104,0,0,
