layer,head,src_idx,src_token,dst_idx,dst_token,weight
0,0,0,The,0,The,1.000000
0,0,0,The,1, cat,0.000000
0,0,0,The,2, sat,0.000000
0,0,0,The,3, on,0.000000
0,0,0,The,4, the,0.000000
0,0,1, cat,0,The,0.382812
0,0,1, cat,1, cat,0.617188
0,0,1, cat,2, sat,0.000000
0,0,1, cat,3, on,0.000000
0,0,1, cat,4, the,0.000000
0,0,2, sat,0,The,0.133179
0,0,2, sat,1, cat,0.566895
0,0,2, sat,2, sat,0.300049
0,0,2, sat,3, on,0.000000
0,0,2, sat,4, the,0.000000
0,0,3, on,0,The,0.051025
0,0,3, on,1, cat,0.365723
0,0,3, on,2, sat,0.196533
0,0,3, on,3, on,0.386719
0,0,3, on,4, the,0.000000
0,0,4, the,0,The,0.051788
0,0,4, the,1, cat,0.563965
0,0,4, the,2, sat,0.110352
0,0,4, the,3, on,0.165771
0,0,4, the,4, the,0.108154
0,1,0,The,0,The,1.000000
0,1,0,The,1, cat,0.000000
0,1,0,The,2, sat,0.000000
0,1,0,The,3, on,0.000000
0,1,0,The,4, the,0.000000
0,1,1, cat,0,The,0.868164
0,1,1, cat,1, cat,0.132080
0,1,1, cat,2, sat,0.000000
0,1,1, cat,3, on,0.000000
0,1,1, cat,4, the,0.000000
0,1,2, sat,0,The,0.759766
0,1,2, sat,1, cat,0.125854
0,1,2, sat,2, sat,0.114197
0,1,2, sat,3, on,0.000000
0,1,2, sat,4, the,0.000000
0,1,3, on,0,The,0.229370
0,1,3, on,1, cat,0.339111
0,1,3, on,2, sat,0.285645
0,1,3, on,3, on,0.145874
0,1,3, on,4, the,0.000000
0,1,4, the,0,The,0.126953
0,1,4, the,1, cat,0.171997
0,1,4, the,2, sat,0.212891
0,1,4, the,3, on,0.133423
0,1,4, the,4, the,0.354736
0,2,0,The,0,The,1.000000
0,2,0,The,1, cat,0.000000
0,2,0,The,2, sat,0.000000
0,2,0,The,3, on,0.000000
0,2,0,The,4, the,0.000000
0,2,1, cat,0,The,0.717773
0,2,1, cat,1, cat,0.282227
0,2,1, cat,2, sat,0.000000
0,2,1, cat,3, on,0.000000
0,2,1, cat,4, the,0.000000
0,2,2, sat,0,The,0.108459
0,2,2, sat,1, cat,0.579102
0,2,2, sat,2, sat,0.312256
0,2,2, sat,3, on,0.000000
0,2,2, sat,4, the,0.000000
0,2,3, on,0,The,0.103333
0,2,3, on,1, cat,0.286865
0,2,3, on,2, sat,0.521484
0,2,3, on,3, on,0.088379
0,2,3, on,4, the,0.000000
0,2,4, the,0,The,0.119141
0,2,4, the,1, cat,0.192383
0,2,4, the,2, sat,0.359863
0,2,4, the,3, on,0.109070
0,2,4, the,4, the,0.219482
0,3,0,The,0,The,1.000000
0,3,0,The,1, cat,0.000000
0,3,0,The,2, sat,0.000000
0,3,0,The,3, on,0.000000
0,3,0,The,4, the,0.000000
0,3,1, cat,0,The,0.402588
0,3,1, cat,1, cat,0.597656
0,3,1, cat,2, sat,0.000000
0,3,1, cat,3, on,0.000000
0,3,1, cat,4, the,0.000000
0,3,2, sat,0,The,0.044617
0,3,2, sat,1, cat,0.826172
0,3,2, sat,2, sat,0.129150
0,3,2, sat,3, on,0.000000
0,3,2, sat,4, the,0.000000
0,3,3, on,0,The,0.200684
0,3,3, on,1, cat,0.460693
0,3,3, on,2, sat,0.319824
0,3,3, on,3, on,0.018677
0,3,3, on,4, the,0.000000
0,3,4, the,0,The,0.170898
0,3,4, the,1, cat,0.327393
0,3,4, the,2, sat,0.169189
0,3,4, the,3, on,0.186035
0,3,4, the,4, the,0.146362
0,4,0,The,0,The,1.000000
0,4,0,The,1, cat,0.000000
0,4,0,The,2, sat,0.000000
0,4,0,The,3, on,0.000000
0,4,0,The,4, the,0.000000
0,4,1, cat,0,The,0.591309
0,4,1, cat,1, cat,0.408691
0,4,1, cat,2, sat,0.000000
0,4,1, cat,3, on,0.000000
0,4,1, cat,4, the,0.000000
0,4,2, sat,0,The,0.520996
0,4,2, sat,1, cat,0.299561
0,4,2, sat,2, sat,0.179199
0,4,2, sat,3, on,0.000000
0,4,2, sat,4, the,0.000000
0,4,3, on,0,The,0.332520
0,4,3, on,1, cat,0.277832
0,4,3, on,2, sat,0.223389
0,4,3, on,3, on,0.166138
0,4,3, on,4, the,0.000000
0,4,4, the,0,The,0.309570
0,4,4, the,1, cat,0.276855
0,4,4, the,2, sat,0.113220
0,4,4, the,3, on,0.222290
0,4,4, the,4, the,0.078125
0,5,0,The,0,The,1.000000
0,5,0,The,1, cat,0.000000
0,5,0,The,2, sat,0.000000
0,5,0,The,3, on,0.000000
0,5,0,The,4, the,0.000000
0,5,1, cat,0,The,0.977051
0,5,1, cat,1, cat,0.022827
0,5,1, cat,2, sat,0.000000
0,5,1, cat,3, on,0.000000
0,5,1, cat,4, the,0.000000
0,5,2, sat,0,The,0.541504
0,5,2, sat,1, cat,0.156006
0,5,2, sat,2, sat,0.302734
0,5,2, sat,3, on,0.000000
0,5,2, sat,4, the,0.000000
0,5,3, on,0,The,0.312744
0,5,3, on,1, cat,0.062805
0,5,3, on,2, sat,0.311523
0,5,3, on,3, on,0.312744
0,5,3, on,4, the,0.000000
0,5,4, the,0,The,0.101990
0,5,4, the,1, cat,0.525879
0,5,4, the,2, sat,0.049133
0,5,4, the,3, on,0.171265
0,5,4, the,4, the,0.151611
0,6,0,The,0,The,1.000000
0,6,0,The,1, cat,0.000000
0,6,0,The,2, sat,0.000000
0,6,0,The,3, on,0.000000
0,6,0,The,4, the,0.000000
0,6,1, cat,0,The,0.404785
0,6,1, cat,1, cat,0.595215
0,6,1, cat,2, sat,0.000000
0,6,1, cat,3, on,0.000000
0,6,1, cat,4, the,0.000000
0,6,2, sat,0,The,0.040344
0,6,2, sat,1, cat,0.870117
0,6,2, sat,2, sat,0.089600
0,6,2, sat,3, on,0.000000
0,6,2, sat,4, the,0.000000
0,6,3, on,0,The,0.093445
0,6,3, on,1, cat,0.352051
0,6,3, on,2, sat,0.324219
0,6,3, on,3, on,0.230347
0,6,3, on,4, the,0.000000
0,6,4, the,0,The,0.031738
0,6,4, the,1, cat,0.182373
0,6,4, the,2, sat,0.048340
0,6,4, the,3, on,0.136719
0,6,4, the,4, the,0.601074
0,7,0,The,0,The,1.000000
0,7,0,The,1, cat,0.000000
0,7,0,The,2, sat,0.000000
0,7,0,The,3, on,0.000000
0,7,0,The,4, the,0.000000
0,7,1, cat,0,The,0.810059
0,7,1, cat,1, cat,0.189941
0,7,1, cat,2, sat,0.000000
0,7,1, cat,3, on,0.000000
0,7,1, cat,4, the,0.000000
0,7,2, sat,0,The,0.631836
0,7,2, sat,1, cat,0.299561
0,7,2, sat,2, sat,0.068481
0,7,2, sat,3, on,0.000000
0,7,2, sat,4, the,0.000000
0,7,3, on,0,The,0.290527
0,7,3, on,1, cat,0.283203
0,7,3, on,2, sat,0.383789
0,7,3, on,3, on,0.042419
0,7,3, on,4, the,0.000000
0,7,4, the,0,The,0.210449
0,7,4, the,1, cat,0.319092
0,7,4, the,2, sat,0.216919
0,7,4, the,3, on,0.102722
0,7,4, the,4, the,0.150879
0,8,0,The,0,The,1.000000
0,8,0,The,1, cat,0.000000
0,8,0,The,2, sat,0.000000
0,8,0,The,3, on,0.000000
0,8,0,The,4, the,0.000000
0,8,1, cat,0,The,0.625977
0,8,1, cat,1, cat,0.373779
0,8,1, cat,2, sat,0.000000
0,8,1, cat,3, on,0.000000
0,8,1, cat,4, the,0.000000
0,8,2, sat,0,The,0.354980
0,8,2, sat,1, cat,0.314697
0,8,2, sat,2, sat,0.330078
0,8,2, sat,3, on,0.000000
0,8,2, sat,4, the,0.000000
0,8,3, on,0,The,0.381836
0,8,3, on,1, cat,0.222656
