layer,head,src_idx,src_token,dst_idx,dst_token,weight
0,0,0,The,0,The,1.000000
0,0,0,The,1, cat,0.000000
0,0,0,The,2, sat,0.000000
0,0,0,The,3, on,0.000000
0,0,0,The,4, the,0.000000
0,0,1, cat,0,The,0.826660
0,0,1, cat,1, cat,0.173096
0,0,1, cat,2, sat,0.000000
0,0,1, cat,3, on,0.000000
0,0,1, cat,4, the,0.000000
0,0,2, sat,0,The,0.541016
0,0,2, sat,1, cat,0.212646
0,0,2, sat,2, sat,0.246338
0,0,2, sat,3, on,0.000000
0,0,2, sat,4, the,0.000000
0,0,3, on,0,The,0.419922
0,0,3, on,1, cat,0.170044
0,0,3, on,2, sat,0.226562
0,0,3, on,3, on,0.183472
0,0,3, on,4, the,0.000000
0,0,4, the,0,The,0.418457
0,0,4, the,1, cat,0.240356
0,0,4, the,2, sat,0.099121
0,0,4, the,3, on,0.139282
0,0,4, the,4, the,0.102783
0,1,0,The,0,The,1.000000
0,1,0,The,1, cat,0.000000
0,1,0,The,2, sat,0.000000
0,1,0,The,3, on,0.000000
0,1,0,The,4, the,0.000000
0,1,1, cat,0,The,0.454346
0,1,1, cat,1, cat,0.545898
0,1,1, cat,2, sat,0.000000
0,1,1, cat,3, on,0.000000
0,1,1, cat,4, the,0.000000
0,1,2, sat,0,The,0.252441
0,1,2, sat,1, cat,0.408936
0,1,2, sat,2, sat,0.338623
0,1,2, sat,3, on,0.000000
0,1,2, sat,4, the,0.000000
0,1,3, on,0,The,0.263184
0,1,3, on,1, cat,0.159302
0,1,3, on,2, sat,0.486816
0,1,3, on,3, on,0.090637
0,1,3, on,4, the,0.000000
0,1,4, the,0,The,0.132690
0,1,4, the,1, cat,0.046539
0,1,4, the,2, sat,0.161743
0,1,4, the,3, on,0.044006
0,1,4, the,4, the,0.615234
0,2,0,The,0,The,1.000000
0,2,0,The,1, cat,0.000000
0,2,0,The,2, sat,0.000000
0,2,0,The,3, on,0.000000
0,2,0,The,4, the,0.000000
0,2,1, cat,0,The,0.716797
0,2,1, cat,1, cat,0.282959
0,2,1, cat,2, sat,0.000000
0,2,1, cat,3, on,0.000000
0,2,1, cat,4, the,0.000000
0,2,2, sat,0,The,0.439453
0,2,2, sat,1, cat,0.419922
0,2,2, sat,2, sat,0.140625
0,2,2, sat,3, on,0.000000
0,2,2, sat,4, the,0.000000
0,2,3, on,0,The,0.393311
0,2,3, on,1, cat,0.282959
0,2,3, on,2, sat,0.232788
0,2,3, on,3, on,0.090942
0,2,3, on,4, the,0.000000
0,2,4, the,0,The,0.228516
0,2,4, the,1, cat,0.278320
0,2,4, the,2, sat,0.230713
0,2,4, the,3, on,0.149902
0,2,4, the,4, the,0.112671
0,3,0,The,0,The,1.000000
0,3,0,The,1, cat,0.000000
0,3,0,The,2, sat,0.000000
0,3,0,The,3, on,0.000000
0,3,0,The,4, the,0.000000
0,3,1, cat,0,The,0.820312
0,3,1, cat,1, cat,0.179810
0,3,1, cat,2, sat,0.000000
0,3,1, cat,3, on,0.000000
0,3,1, cat,4, the,0.000000
0,3,2, sat,0,The,0.225830
0,3,2, sat,1, cat,0.632812
0,3,2, sat,2, sat,0.141357
0,3,2, sat,3, on,0.000000
0,3,2, sat,4, the,0.000000
0,3,3, on,0,The,0.023148
0,3,3, on,1, cat,0.334717
0,3,3, on,2, sat,0.625977
0,3,3, on,3, on,0.016037
0,3,3, on,4, the,0.000000
0,3,4, the,0,The,0.099609
0,3,4, the,1, cat,0.178955
0,3,4, the,2, sat,0.366943
0,3,4, the,3, on,0.138428
0,3,4, the,4, the,0.216064
0,4,0,The,0,The,1.000000
0,4,0,The,1, cat,0.000000
0,4,0,The,2, sat,0.000000
0,4,0,The,3, on,0.000000
0,4,0,The,4, the,0.000000
0,4,1, cat,0,The,0.264648
0,4,1, cat,1, cat,0.735352
0,4,1, cat,2, sat,0.000000
0,4,1, cat,3, on,0.000000
0,4,1, cat,4, the,0.000000
0,4,2, sat,0,The,0.690430
0,4,2, sat,1, cat,0.173462
0,4,2, sat,2, sat,0.136108
0,4,2, sat,3, on,0.000000
0,4,2, sat,4, the,0.000000
0,4,3, on,0,The,0.265625
0,4,3, on,1, cat,0.244263
0,4,3, on,2, sat,0.332520
0,4,3, on,3, on,0.157471
0,4,3, on,4, the,0.000000
0,4,4, the,0,The,0.302002
0,4,4, the,1, cat,0.213257
0,4,4, the,2, sat,0.106506
0,4,4, the,3, on,0.282715
0,4,4, the,4, the,0.095398
0,5,0,The,0,The,1.000000
0,5,0,The,1, cat,0.000000
0,5,0,The,2, sat,0.000000
0,5,0,The,3, on,0.000000
0,5,0,The,4, the,0.000000
0,5,1, cat,0,The,0.974609
0,5,1, cat,1, cat,0.025497
0,5,1, cat,2, sat,0.000000
0,5,1, cat,3, on,0.000000
0,5,1, cat,4, the,0.000000
0,5,2, sat,0,The,0.746094
0,5,2, sat,1, cat,0.093445
0,5,2, sat,2, sat,0.160278
0,5,2, sat,3, on,0.000000
0,5,2, sat,4, the,0.000000
0,5,3, on,0,The,0.209717
0,5,3, on,1, cat,0.132080
0,5,3, on,2, sat,0.260742
0,5,3, on,3, on,0.397461
0,5,3, on,4, the,0.000000
0,5,4, the,0,The,0.161987
0,5,4, the,1, cat,0.065002
0,5,4, the,2, sat,0.222290
0,5,4, the,3, on,0.277832
0,5,4, the,4, the,0.272949
0,6,0,The,0,The,1.000000
0,6,0,The,1, cat,0.000000
0,6,0,The,2, sat,0.000000
0,6,0,The,3, on,0.000000
0,6,0,The,4, the,0.000000
0,6,1, cat,0,The,0.478516
0,6,1, cat,1, cat,0.521484
0,6,1, cat,2, sat,0.000000
0,6,1, cat,3, on,0.000000
0,6,1, cat,4, the,0.000000
0,6,2, sat,0,The,0.171631
0,6,2, sat,1, cat,0.644043
0,6,2, sat,2, sat,0.184204
0,6,2, sat,3, on,0.000000
0,6,2, sat,4, the,0.000000
0,6,3, on,0,The,0.430908
0,6,3, on,1, cat,0.179321
0,6,3, on,2, sat,0.349365
0,6,3, on,3, on,0.040527
0,6,3, on,4, the,0.000000
0,6,4, the,0,The,0.129028
0,6,4, the,1, cat,0.334961
0,6,4, the,2, sat,0.208374
0,6,4, the,3, on,0.077209
0,6,4, the,4, the,0.250244
0,7,0,The,0,The,1.000000
0,7,0,The,1, cat,0.000000
0,7,0,The,2, sat,0.000000
0,7,0,The,3, on,0.000000
0,7,0,The,4, the,0.000000
0,7,1, cat,0,The,0.432373
0,7,1, cat,1, cat,0.567383
0,7,1, cat,2, sat,0.000000
0,7,1, cat,3, on,0.000000
0,7,1, cat,4, the,0.000000
0,7,2, sat,0,The,0.625977
0,7,2, sat,1, cat,0.195679
0,7,2, sat,2, sat,0.178467
0,7,2, sat,3, on,0.000000
0,7,2, sat,4, the,0.000000
0,7,3, on,0,The,0.107605
0,7,3, on,1, cat,0.214966
0,7,3, on,2, sat,0.573242
0,7,3, on,3, on,0.104126
0,7,3, on,4, the,0.000000
0,7,4, the,0,The,0.165894
0,7,4, the,1, cat,0.145630
0,7,4, the,2, sat,0.439453
0,7,4, the,3, on,0.106079
0,7,4, the,4, the,0.142944
0,8,0,The,0,The,1.000000
0,8,0,The,1, cat,0.000000
0,8,0,The,2, sat,0.000000
0,8,0,The,3, on,0.000000
0,8,0,The,4, the,0.000000
0,8,1, cat,0,The,0.788086
0,8,1, cat,1, cat,0.211792
0,8,1, cat,2, sat,0.000000
0,8,1, cat,3, on,0.000000
0,8,1, cat,4, the,0.000000
0,8,2, sat,0,The,0.337646
0,8,2, sat,1, cat,0.430420
0,8,2, sat,2, sat,0.232056
0,8,2, sat,3, on,0.000000
0,8,2, sat,4, the,0.000000
0,8,3, on,0,The,0.353271
0,8,3, on,1, cat,0.208374
