layer,head,src_idx,src_token,dst_idx,dst_token,weight
0,0,0,The,0,The,1.000000
0,0,0,The,1, cat,0.000000
0,0,0,The,2, sat,0.000000
0,0,0,The,3, on,0.000000
0,0,0,The,4, the,0.000000
0,0,1, cat,0,The,0.646973
0,0,1, cat,1, cat,0.353271
0,0,1, cat,2, sat,0.000000
0,0,1, cat,3, on,0.000000
0,0,1, cat,4, the,0.000000
0,0,2, sat,0,The,0.532715
0,0,2, sat,1, cat,0.180664
0,0,2, sat,2, sat,0.286621
0,0,2, sat,3, on,0.000000
0,0,2, sat,4, the,0.000000
0,0,3, on,0,The,0.318604
0,0,3, on,1, cat,0.222168
0,0,3, on,2, sat,0.253174
0,0,3, on,3, on,0.206055
0,0,3, on,4, the,0.000000
0,0,4, the,0,The,0.213745
0,0,4, the,1, cat,0.207031
0,0,4, the,2, sat,0.207031
0,0,4, the,3, on,0.179321
0,0,4, the,4, the,0.192993
0,1,0,The,0,The,1.000000
0,1,0,The,1, cat,0.000000
0,1,0,The,2, sat,0.000000
0,1,0,The,3, on,0.000000
0,1,0,The,4, the,0.000000
0,1,1, cat,0,The,0.643066
0,1,1, cat,1, cat,0.356689
0,1,1, cat,2, sat,0.000000
0,1,1, cat,3, on,0.000000
0,1,1, cat,4, the,0.000000
0,1,2, sat,0,The,0.481201
0,1,2, sat,1, cat,0.218384
0,1,2, sat,2, sat,0.300293
0,1,2, sat,3, on,0.000000
0,1,2, sat,4, the,0.000000
0,1,3, on,0,The,0.276855
0,1,3, on,1, cat,0.296875
0,1,3, on,2, sat,0.150146
0,1,3, on,3, on,0.276123
0,1,3, on,4, the,0.000000
0,1,4, the,0,The,0.209839
0,1,4, the,1, cat,0.277100
0,1,4, the,2, sat,0.140747
0,1,4, the,3, on,0.211548
0,1,4, the,4, the,0.160889
0,2,0,The,0,The,1.000000
0,2,0,The,1, cat,0.000000
0,2,0,The,2, sat,0.000000
0,2,0,The,3, on,0.000000
0,2,0,The,4, the,0.000000
0,2,1, cat,0,The,0.765137
0,2,1, cat,1, cat,0.234863
0,2,1, cat,2, sat,0.000000
0,2,1, cat,3, on,0.000000
0,2,1, cat,4, the,0.000000
0,2,2, sat,0,The,0.458740
0,2,2, sat,1, cat,0.272217
0,2,2, sat,2, sat,0.269287
0,2,2, sat,3, on,0.000000
0,2,2, sat,4, the,0.000000
0,2,3, on,0,The,0.412842
0,2,3, on,1, cat,0.178955
0,2,3, on,2, sat,0.183472
0,2,3, on,3, on,0.224854
0,2,3, on,4, the,0.000000
0,2,4, the,0,The,0.323730
0,2,4, the,1, cat,0.162842
0,2,4, the,2, sat,0.162964
0,2,4, the,3, on,0.143311
0,2,4, the,4, the,0.207031
0,3,0,The,0,The,1.000000
0,3,0,The,1, cat,0.000000
0,3,0,The,2, sat,0.000000
0,3,0,The,3, on,0.000000
0,3,0,The,4, the,0.000000
0,3,1, cat,0,The,0.606445
0,3,1, cat,1, cat,0.393311
0,3,1, cat,2, sat,0.000000
0,3,1, cat,3, on,0.000000
0,3,1, cat,4, the,0.000000
0,3,2, sat,0,The,0.491699
0,3,2, sat,1, cat,0.248535
0,3,2, sat,2, sat,0.259766
0,3,2, sat,3, on,0.000000
0,3,2, sat,4, the,0.000000
0,3,3, on,0,The,0.317383
0,3,3, on,1, cat,0.277588
0,3,3, on,2, sat,0.198364
0,3,3, on,3, on,0.206787
0,3,3, on,4, the,0.000000
0,3,4, the,0,The,0.241577
0,3,4, the,1, cat,0.172852
0,3,4, the,2, sat,0.203247
0,3,4, the,3, on,0.168579
0,3,4, the,4, the,0.213745
0,4,0,The,0,The,1.000000
0,4,0,The,1, cat,0.000000
0,4,0,The,2, sat,0.000000
0,4,0,The,3, on,0.000000
0,4,0,The,4, the,0.000000
0,4,1, cat,0,The,0.583984
0,4,1, cat,1, cat,0.416260
0,4,1, cat,2, sat,0.000000
0,4,1, cat,3, on,0.000000
0,4,1, cat,4, the,0.000000
0,4,2, sat,0,The,0.430420
0,4,2, sat,1, cat,0.350830
0,4,2, sat,2, sat,0.218750
0,4,2, sat,3, on,0.000000
0,4,2, sat,4, the,0.000000
0,4,3, on,0,The,0.302734
0,4,3, on,1, cat,0.271484
0,4,3, on,2, sat,0.211426
0,4,3, on,3, on,0.214600
0,4,3, on,4, the,0.000000
0,4,4, the,0,The,0.263184
0,4,4, the,1, cat,0.167969
0,4,4, the,2, sat,0.182617
0,4,4, the,3, on,0.198730
0,4,4, the,4, the,0.187622
0,5,0,The,0,The,1.000000
0,5,0,The,1, cat,0.000000
0,5,0,The,2, sat,0.000000
0,5,0,The,3, on,0.000000
0,5,0,The,4, the,0.000000
0,5,1, cat,0,The,0.747070
0,5,1, cat,1, cat,0.252930
0,5,1, cat,2, sat,0.000000
0,5,1, cat,3, on,0.000000
0,5,1, cat,4, the,0.000000
0,5,2, sat,0,The,0.422607
0,5,2, sat,1, cat,0.265869
0,5,2, sat,2, sat,0.311523
0,5,2, sat,3, on,0.000000
0,5,2, sat,4, the,0.000000
0,5,3, on,0,The,0.349609
0,5,3, on,1, cat,0.222656
0,5,3, on,2, sat,0.231079
0,5,3, on,3, on,0.196777
0,5,3, on,4, the,0.000000
0,5,4, the,0,The,0.271729
0,5,4, the,1, cat,0.204346
0,5,4, the,2, sat,0.181030
0,5,4, the,3, on,0.122314
0,5,4, the,4, the,0.220337
0,6,0,The,0,The,1.000000
0,6,0,The,1, cat,0.000000
0,6,0,The,2, sat,0.000000
0,6,0,The,3, on,0.000000
0,6,0,The,4, the,0.000000
0,6,1, cat,0,The,0.657715
0,6,1, cat,1, cat,0.342285
0,6,1, cat,2, sat,0.000000
0,6,1, cat,3, on,0.000000
0,6,1, cat,4, the,0.000000
0,6,2, sat,0,The,0.498047
0,6,2, sat,1, cat,0.249756
0,6,2, sat,2, sat,0.252197
0,6,2, sat,3, on,0.000000
0,6,2, sat,4, the,0.000000
0,6,3, on,0,The,0.284424
0,6,3, on,1, cat,0.235840
0,6,3, on,2, sat,0.214355
0,6,3, on,3, on,0.265381
0,6,3, on,4, the,0.000000
0,6,4, the,0,The,0.205688
0,6,4, the,1, cat,0.184692
0,6,4, the,2, sat,0.173584
0,6,4, the,3, on,0.198120
0,6,4, the,4, the,0.237915
0,7,0,The,0,The,1.000000
0,7,0,The,1, cat,0.000000
0,7,0,The,2, sat,0.000000
0,7,0,The,3, on,0.000000
0,7,0,The,4, the,0.000000
0,7,1, cat,0,The,0.701660
0,7,1, cat,1, cat,0.298340
0,7,1, cat,2, sat,0.000000
0,7,1, cat,3, on,0.000000
0,7,1, cat,4, the,0.000000
0,7,2, sat,0,The,0.577637
0,7,2, sat,1, cat,0.188354
0,7,2, sat,2, sat,0.234131
0,7,2, sat,3, on,0.000000
0,7,2, sat,4, the,0.000000
0,7,3, on,0,The,0.318604
0,7,3, on,1, cat,0.206421
0,7,3, on,2, sat,0.259033
0,7,3, on,3, on,0.216187
0,7,3, on,4, the,0.000000
0,7,4, the,0,The,0.252197
0,7,4, the,1, cat,0.187012
0,7,4, the,2, sat,0.185425
0,7,4, the,3, on,0.163818
0,7,4, the,4, the,0.211548
0,8,0,The,0,The,1.000000
0,8,0,The,1, cat,0.000000
0,8,0,The,2, sat,0.000000
0,8,0,The,3, on,0.000000
0,8,0,The,4, the,0.000000
0,8,1, cat,0,The,0.726562
0,8,1, cat,1, cat,0.273682
0,8,1, cat,2, sat,0.000000
0,8,1, cat,3, on,0.000000
0,8,1, cat,4, the,0.000000
0,8,2, sat,0,The,0.514648
0,8,2, sat,1, cat,0.211548
0,8,2, sat,2, sat,0.273926
0,8,2, sat,3, on,0.000000
0,8,2, sat,4, the,0.000000
0,8,3, on,0,The,0.347900
0,8,3, on,1, cat,0.207031
