layer,head,score,baseline_logp_target,baseline_logp_distractor,ablated_logp_target,ablated_logp_distractor,delta_target,delta_distractor
0,0,0.010950,-4.116848,-4.017983,-4.102304,-4.007033,-0.014544,0.010950
0,1,0.005387,-4.116848,-4.017983,-4.124073,-4.012597,0.007225,0.005387
0,2,0.007545,-4.116848,-4.017983,-4.128931,-4.010438,0.012083,0.007545
0,3,-0.037695,-4.116848,-4.017983,-4.158515,-4.055679,0.041667,-0.037695
0,4,0.007374,-4.116848,-4.017983,-4.117290,-4.010610,0.000442,0.007374
0,5,0.080224,-4.116848,-4.017983,-4.048315,-3.937759,-0.068533,0.080224
0,6,0.006069,-4.116848,-4.017983,-4.103865,-4.011914,-0.012983,0.006069
0,7,-0.003798,-4.116848,-4.017983,-4.131269,-4.021781,0.014421,-0.003798
0,8,0.008131,-4.116848,-4.017983,-4.116478,-4.009852,-0.000370,0.008131
0,9,-0.023206,-4.116848,-4.017983,-4.159118,-4.041190,0.042270,-0.023206
0,10,-0.018209,-4.116848,-4.017983,-4.143086,-4.036192,0.026238,-0.018209
0,11,0.039649,-4.116848,-4.017983,-4.078956,-3.978335,-0.037892,0.039649
0,12,0.027316,-4.116848,-4.017983,-4.088838,-3.990667,-0.028010,0.027316
0,13,0.009959,-4.116848,-4.017983,-4.111594,-4.008025,-0.005254,0.009959
0,14,0.003893,-4.116848,-4.017983,-4.124528,-4.014090,0.007680,0.003893
0,15,-0.007612,-4.116848,-4.017983,-4.137079,-4.025595,0.020231,-0.007612
0,16,-0.018679,-4.116848,-4.017983,-4.143832,-4.036663,0.026984,-0.018679
0,17,-0.008864,-4.116848,-4.017983,-4.137909,-4.026848,0.021061,-0.008864
0,18,-0.001414,-4.116848,-4.017983,-4.122901,-4.019398,0.006053,-0.001414
0,19,0.003580,-4.116848,-4.017983,-4.114408,-4.014403,-0.002439,0.003580
1,0,-0.013481,-4.116848,-4.017983,-4.082693,-4.031465,-0.034155,-0.013481
1,1,0.032319,-4.116848,-4.017983,-4.051671,-3.985664,-0.065177,0.032319
1,2,0.027113,-4.116848,-4.017983,-4.074004,-3.990870,-0.042844,0.027113
1,3,0.053293,-4.116848,-4.017983,-4.041074,-3.964691,-0.075774,0.053293
1,4,0.008224,-4.116848,-4.017983,-4.063559,-4.009760,-0.053289,0.008224
1,5,0.023638,-4.116848,-4.017983,-4.107538,-3.994345,-0.009310,0.023638
1,6,-0.082884,-4.116848,-4.017983,-4.119130,-4.100867,0.002282,-0.082884
1,7,0.049165,-4.116848,-4.017983,-4.014187,-3.968818,-0.102661,0.049165
1,8,-0.008610,-4.116848,-4.017983,-4.121469,-4.026593,0.004621,-0.008610
1,9,0.005439,-4.116848,-4.017983,-4.090872,-4.012545,-0.025976,0.005439
1,10,0.012239,-4.116848,-4.017983,-4.065142,-4.005744,-0.051706,0.012239
1,11,0.010573,-4.116848,-4.017983,-4.034725,-4.007410,-0.082123,0.010573
1,12,-0.096401,-4.116848,-4.017983,-4.154986,-4.114384,0.038138,-0.096401
1,13,0.010236,-4.116848,-4.017983,-4.040903,-4.007748,-0.075945,0.010236
1,14,-0.001122,-4.116848,-4.017983,-4.111270,-4.019105,-0.005578,-0.001122
1,15,-0.007903,-4.116848,-4.017983,-4.085902,-4.025887,-0.030946,-0.007903
1,16,0.007782,-4.116848,-4.017983,-4.088311,-4.010201,-0.028537,0.007782
1,17,0.099884,-4.116848,-4.017983,-3.943062,-3.918100,-0.173786,0.099884
1,18,-0.010146,-4.116848,-4.017983,-4.128806,-4.028130,0.011958,-0.010146
1,19,0.030198,-4.116848,-4.017983,-4.050421,-3.987786,-0.066427,0.030198
2,0,-0.076869,-4.116848,-4.017983,-4.252234,-4.094852,0.135386,-0.076869
2,1,-0.000339,-4.116848,-4.017983,-4.102470,-4.018322,-0.014378,-0.000339
2,2,0.023173,-4.116848,-4.017983,-4.098322,-3.994810,-0.018526,0.023173
2,3,-0.013830,-4.116848,-4.017983,-4.168331,-4.031813,0.051483,-0.013830
2,4,-0.004788,-4.116848,-4.017983,-4.140115,-4.022771,0.023267,-0.004788
2,5,-0.050250,-4.116848,-4.017983,-4.214650,-4.068233,0.097802,-0.050250
2,6,-0.013080,-4.116848,-4.017983,-4.131811,-4.031064,0.014963,-0.013080
2,7,-0.020099,-4.116848,-4.017983,-4.144090,-4.038082,0.027242,-0.020099
2,8,0.032605,-4.116848,-4.017983,-4.087932,-3.985378,-0.028916,0.032605
2,9,-0.017076,-4.116848,-4.017983,-4.142701,-4.035059,0.025853,-0.017076
2,10,-0.002679,-4.116848,-4.017983,-4.136031,-4.020663,0.019183,-0.002679
2,11,-0.043373,-4.116848,-4.017983,-4.162030,-4.061357,0.045182,-0.043373
2,12,-0.015298,-4.116848,-4.017983,-4.163840,-4.033282,0.046992,-0.015298
2,13,-0.140064,-4.116848,-4.017983,-4.268175,-4.158048,0.151327,-0.140064
2,14,0.020928,-4.116848,-4.017983,-4.114807,-3.997056,-0.002041,0.020928
2,15,0.071186,-4.116848,-4.017983,-4.054702,-3.946797,-0.062146,0.071186
2,16,-0.036009,-4.116848,-4.017983,-4.162878,-4.053992,0.046030,-0.036009
2,17,0.047979,-4.116848,-4.017983,-4.089449,-3.970005,-0.027399,0.047979
2,18,0.012709,-4.116848,-4.017983,-4.103212,-4.005274,-0.013636,0.012709
2,19,0.029742,-4.116848,-4.017983,-4.102592,-3.988242,-0.014256,0.029742
3,0,-0.195676,-4.116848,-4.017983,-4.442188,-4.213659,0.325340,-0.195676
3,1,0.013929,-4.116848,-4.017983,-4.090747,-4.004055,-0.026101,0.013929
3,2,0.074913,-4.116848,-4.017983,-4.031602,-3.943071,-0.085246,0.074913
3,3,-0.012882,-4.116848,-4.017983,-4.113116,-4.030866,-0.003732,-0.012882
3,4,0.005356,-4.116848,-4.017983,-4.106483,-4.012628,-0.010365,0.005356
3,5,0.014310,-4.116848,-4.017983,-4.110121,-4.003674,-0.006727,0.014310
3,6,-0.175003,-4.116848,-4.017983,-4.327371,-4.192986,0.210523,-0.175003
3,7,0.132382,-4.116848,-4.017983,-3.965519,-3.885602,-0.151329,0.132382
3,8,0.035013,-4.116848,-4.017983,-4.055329,-3.982970,-0.061519,0.035013
3,9,0.008168,-4.116848,-4.017983,-4.109122,-4.009816,-0.007726,0.008168
3,10,-0.111136,-4.116848,-4.017983,-4.253315,-4.129120,0.136467,-0.111136
3,11,0.009995,-4.116848,-4.017983,-4.096549,-4.007988,-0.020299,0.009995
3,12,-0.340883,-4.116848,-4.017983,-4.673431,-4.358866,0.556583,-0.340883
3,13,0.017874,-4.116848,-4.017983,-4.093678,-4.000110,-0.023170,0.017874
3,14,0.018442,-4.116848,-4.017983,-4.093527,-3.999542,-0.023321,0.018442
3,15,-0.021439,-4.116848,-4.017983,-4.123385,-4.039423,0.006537,-0.021439
3,16,-0.342095,-4.116848,-4.017983,-4.502685,-4.360078,0.385837,-0.342095
3,17,-0.000136,-4.116848,-4.017983,-4.116846,-4.018120,-0.000002,-0.000136
3,18,-0.003904,-4.116848,-4.017983,-4.119958,-4.021888,0.003110,-0.003904
3,19,0.004380,-4.116848,-4.017983,-4.121273,-4.013603,0.004425,0.004380
4,0,0.053897,-4.116848,-4.017983,-3.974035,-3.964086,-0.142813,0.053897
4,1,0.027756,-4.116848,-4.017983,-4.064961,-3.990228,-0.051887,0.027756
4,2,0.117976,-4.116848,-4.017983,-3.965501,-3.900007,-0.151347,0.117976
4,3,0.001637,-4.116848,-4.017983,-4.100670,-4.016347,-0.016178,0.001637
4,4,0.024064,-4.116848,-4.017983,-4.047457,-3.993920,-0.069391,0.024064
4,5,0.050152,-4.116848,-4.017983,-4.026456,-3.967831,-0.090392,0.050152
4,6,0.070430,-4.116848,-4.017983,-4.048385,-3.947554,-0.068463,0.070430
4,7,-0.043995,-4.116848,-4.017983,-4.111677,-4.061978,-0.005171,-0.043995
4,8,-0.015672,-4.116848,-4.017983,-4.140394,-4.033656,0.023546,-0.015672
4,9,-0.002223,-4.116848,-4.017983,-4.094126,-4.020206,-0.022722,-0.002223
4,10,-0.032213,-4.116848,-4.017983,-4.155936,-4.050196,0.039088,-0.032213
4,11,0.007863,-4.116848,-4.017983,-4.097798,-4.010120,-0.019050,0.007863
4,12,-0.079587,-4.116848,-4.017983,-4.218559,-4.097570,0.101711,-0.079587
4,13,-0.019615,-4.116848,-4.017983,-4.123805,-4.037598,0.006957,-0.019615
4,14,-0.001280,-4.116848,-4.017983,-4.073971,-4.019263,-0.042877,-0.001280
4,15,0.055825,-4.116848,-4.017983,-4.039163,-3.962158,-0.077685,0.055825
4,16,-0.021297,-4.116848,-4.017983,-4.111167,-4.039280,-0.005681,-0.021297
4,17,0.050139,-4.116848,-4.017983,-3.969878,-3.967845,-0.146970,0.050139
4,18,-0.011739,-4.116848,-4.017983,-4.125192,-4.029722,0.008344,-0.011739
4,19,0.000746,-4.116848,-4.017983,-4.056481,-4.017238,-0.060367,0.000746
5,0,-0.050904,-4.116848,-4.017983,-4.154508,-4.068887,0.037660,-0.050904
5,1,-0.138110,-4.116848,-4.017983,-4.229565,-4.156094,0.112717,-0.138110
5,2,-0.008994,-4.116848,-4.017983,-4.110703,-4.026978,-0.006145,-0.008994
5,3,0.037756,-4.116848,-4.017983,-4.063132,-3.980227,-0.053716,0.037756
5,4,-0.109548,-4.116848,-4.017983,-4.208595,-4.127531,0.091747,-0.109548
5,5,0.008215,-4.116848,-4.017983,-4.046425,-4.009768,-0.070423,0.008215
5,6,-0.011276,-4.116848,-4.017983,-4.117915,-4.029260,0.001067,-0.011276
5,7,-0.050978,-4.116848,-4.017983,-4.174733,-4.068961,0.057885,-0.050978
5,8,0.033106,-4.116848,-4.017983,-4.088760,-3.984877,-0.028088,0.033106
5,9,-0.271834,-4.116848,-4.017983,-4.439982,-4.289818,0.323134,-0.271834
5,10,-0.040888,-4.116848,-4.017983,-4.138736,-4.058871,0.021888,-0.040888
5,11,-0.044606,-4.116848,-4.017983,-4.156695,-4.062589,0.039847,-0.044606
