layer,head,score,baseline_logp_target,baseline_logp_distractor,ablated_logp_target,ablated_logp_distractor,delta_target,delta_distractor
0,0,0.084792,-4.742202,-3.335934,-4.612470,-3.251142,-0.129732,0.084792
0,1,-0.033888,-4.742202,-3.335934,-4.791263,-3.369823,0.049061,-0.033888
0,2,-0.069244,-4.742202,-3.335934,-4.806529,-3.405178,0.064327,-0.069244
0,3,-0.059294,-4.742202,-3.335934,-4.798603,-3.395228,0.056401,-0.059294
0,4,0.100405,-4.742202,-3.335934,-4.568554,-3.235529,-0.173647,0.100405
0,5,-0.018128,-4.742202,-3.335934,-4.767919,-3.354062,0.025717,-0.018128
0,6,-0.023976,-4.742202,-3.335934,-4.764304,-3.359910,0.022102,-0.023976
0,7,-0.007501,-4.742202,-3.335934,-4.740991,-3.343435,-0.001211,-0.007501
0,8,0.004474,-4.742202,-3.335934,-4.729180,-3.331460,-0.013021,0.004474
0,9,-0.030000,-4.742202,-3.335934,-4.760476,-3.365935,0.018274,-0.030000
0,10,-0.004242,-4.742202,-3.335934,-4.730788,-3.340177,-0.011414,-0.004242
0,11,0.028291,-4.742202,-3.335934,-4.690576,-3.307643,-0.051626,0.028291
0,12,-0.009511,-4.742202,-3.335934,-4.739536,-3.345445,-0.002666,-0.009511
0,13,-0.010902,-4.742202,-3.335934,-4.737191,-3.346836,-0.005011,-0.010902
0,14,-0.022357,-4.742202,-3.335934,-4.757179,-3.358292,0.014977,-0.022357
0,15,-0.002390,-4.742202,-3.335934,-4.723159,-3.338324,-0.019043,-0.002390
0,16,0.008585,-4.742202,-3.335934,-4.708402,-3.327349,-0.033800,0.008585
0,17,0.043344,-4.742202,-3.335934,-4.673020,-3.292590,-0.069181,0.043344
0,18,0.032679,-4.742202,-3.335934,-4.691155,-3.303256,-0.051047,0.032679
0,19,0.059161,-4.742202,-3.335934,-4.624388,-3.276773,-0.117814,0.059161
1,0,0.021128,-4.742202,-3.335934,-4.693092,-3.314806,-0.049109,0.021128
1,1,0.034784,-4.742202,-3.335934,-4.673044,-3.301150,-0.069158,0.034784
1,2,-0.037663,-4.742202,-3.335934,-4.775068,-3.373598,0.032866,-0.037663
1,3,0.085731,-4.742202,-3.335934,-4.686104,-3.250203,-0.056098,0.085731
1,4,-0.020351,-4.742202,-3.335934,-4.725020,-3.356286,-0.017181,-0.020351
1,5,-0.009554,-4.742202,-3.335934,-4.723033,-3.345488,-0.019169,-0.009554
1,6,0.019224,-4.742202,-3.335934,-4.688692,-3.316710,-0.053510,0.019224
1,7,-0.011940,-4.742202,-3.335934,-4.736588,-3.347874,-0.005614,-0.011940
1,8,-0.003463,-4.742202,-3.335934,-4.731860,-3.339397,-0.010342,-0.003463
1,9,0.001615,-4.742202,-3.335934,-4.728299,-3.334319,-0.013903,0.001615
1,10,-0.000454,-4.742202,-3.335934,-4.729821,-3.336388,-0.012381,-0.000454
1,11,-0.032572,-4.742202,-3.335934,-4.758679,-3.368506,0.016477,-0.032572
1,12,-0.041116,-4.742202,-3.335934,-4.753996,-3.377050,0.011794,-0.041116
1,13,-0.056284,-4.742202,-3.335934,-4.758811,-3.392219,0.016610,-0.056284
1,14,0.020217,-4.742202,-3.335934,-4.697317,-3.315717,-0.044885,0.020217
1,15,-0.063419,-4.742202,-3.335934,-4.826406,-3.399354,0.084204,-0.063419
1,16,0.010401,-4.742202,-3.335934,-4.721071,-3.325533,-0.021131,0.010401
1,17,0.000804,-4.742202,-3.335934,-4.727082,-3.335130,-0.015120,0.000804
1,18,-0.003445,-4.742202,-3.335934,-4.755642,-3.339379,0.013440,-0.003445
1,19,0.008614,-4.742202,-3.335934,-4.722692,-3.327320,-0.019510,0.008614
2,0,0.080626,-4.742202,-3.335934,-4.649717,-3.255308,-0.092485,0.080626
2,1,0.016143,-4.742202,-3.335934,-4.774025,-3.319791,0.031824,0.016143
2,2,-0.046770,-4.742202,-3.335934,-4.839623,-3.382704,0.097422,-0.046770
2,3,-0.031026,-4.742202,-3.335934,-4.789304,-3.366960,0.047102,-0.031026
2,4,-0.016541,-4.742202,-3.335934,-4.764509,-3.352475,0.022307,-0.016541
2,5,-0.040423,-4.742202,-3.335934,-4.794868,-3.376358,0.052667,-0.040423
2,6,0.025709,-4.742202,-3.335934,-4.740177,-3.310225,-0.002025,0.025709
2,7,-0.268115,-4.742202,-3.335934,-5.137171,-3.604049,0.394969,-0.268115
2,8,0.126805,-4.742202,-3.335934,-4.574688,-3.209130,-0.167514,0.126805
2,9,-0.111517,-4.742202,-3.335934,-4.894335,-3.447451,0.152133,-0.111517
2,10,0.388755,-4.742202,-3.335934,-4.325923,-2.947179,-0.416279,0.388755
2,11,0.040634,-4.742202,-3.335934,-4.725347,-3.295300,-0.016855,0.040634
2,12,-0.007083,-4.742202,-3.335934,-4.787225,-3.343018,0.045023,-0.007083
2,13,-0.113676,-4.742202,-3.335934,-4.919113,-3.449610,0.176911,-0.113676
2,14,-0.034171,-4.742202,-3.335934,-4.805390,-3.370105,0.063188,-0.034171
2,15,0.065610,-4.742202,-3.335934,-4.658064,-3.270324,-0.084138,0.065610
2,16,0.051468,-4.742202,-3.335934,-4.663641,-3.284467,-0.078561,0.051468
2,17,-0.023081,-4.742202,-3.335934,-4.777703,-3.359015,0.035501,-0.023081
2,18,-0.171579,-4.742202,-3.335934,-5.301150,-3.507514,0.558949,-0.171579
2,19,-0.004734,-4.742202,-3.335934,-4.769287,-3.340668,0.027085,-0.004734
3,0,-0.257318,-4.742202,-3.335934,-4.988148,-3.593252,0.245946,-0.257318
3,1,0.036526,-4.742202,-3.335934,-4.713677,-3.299408,-0.028524,0.036526
3,2,0.017082,-4.742202,-3.335934,-4.710666,-3.318852,-0.031536,0.017082
3,3,0.077474,-4.742202,-3.335934,-4.640096,-3.258460,-0.102106,0.077474
3,4,0.092468,-4.742202,-3.335934,-4.571552,-3.243466,-0.170650,0.092468
3,5,0.014060,-4.742202,-3.335934,-4.727407,-3.321874,-0.014795,0.014060
3,6,0.012724,-4.742202,-3.335934,-4.704545,-3.323210,-0.037656,0.012724
3,7,-0.019815,-4.742202,-3.335934,-4.765578,-3.355749,0.023376,-0.019815
3,8,-0.020416,-4.742202,-3.335934,-4.782409,-3.356350,0.040207,-0.020416
3,9,0.011722,-4.742202,-3.335934,-4.725228,-3.324213,-0.016973,0.011722
3,10,0.017538,-4.742202,-3.335934,-4.565421,-3.318397,-0.176781,0.017538
3,11,-0.024434,-4.742202,-3.335934,-4.781976,-3.360368,0.039774,-0.024434
3,12,0.007006,-4.742202,-3.335934,-4.722598,-3.328928,-0.019604,0.007006
3,13,0.060613,-4.742202,-3.335934,-4.787770,-3.275321,0.045568,0.060613
3,14,-0.082007,-4.742202,-3.335934,-4.823718,-3.417942,0.081516,-0.082007
3,15,0.013136,-4.742202,-3.335934,-4.563052,-3.322798,-0.179150,0.013136
3,16,0.031116,-4.742202,-3.335934,-4.676525,-3.304818,-0.065677,0.031116
3,17,0.002263,-4.742202,-3.335934,-4.741507,-3.333672,-0.000695,0.002263
3,18,-0.016548,-4.742202,-3.335934,-4.755393,-3.352482,0.013191,-0.016548
3,19,-0.028996,-4.742202,-3.335934,-4.781229,-3.364930,0.039027,-0.028996
4,0,0.005992,-4.742202,-3.335934,-4.717210,-3.329942,-0.024992,0.005992
4,1,-0.008618,-4.742202,-3.335934,-4.757182,-3.344552,0.014980,-0.008618
4,2,-0.019762,-4.742202,-3.335934,-4.775432,-3.355696,0.033230,-0.019762
4,3,0.003861,-4.742202,-3.335934,-4.732050,-3.332073,-0.010152,0.003861
4,4,0.039048,-4.742202,-3.335934,-4.687606,-3.296886,-0.054596,0.039048
4,5,-0.065008,-4.742202,-3.335934,-4.769850,-3.400942,0.027648,-0.065008
4,6,-0.036458,-4.742202,-3.335934,-4.781353,-3.372392,0.039151,-0.036458
4,7,0.018618,-4.742202,-3.335934,-4.707479,-3.317316,-0.034723,0.018618
4,8,-0.044181,-4.742202,-3.335934,-4.887355,-3.380115,0.145153,-0.044181
4,9,-0.019453,-4.742202,-3.335934,-4.780697,-3.355387,0.038496,-0.019453
4,10,0.000303,-4.742202,-3.335934,-4.729556,-3.335631,-0.012646,0.000303
4,11,-0.005601,-4.742202,-3.335934,-4.737697,-3.341535,-0.004505,-0.005601
4,12,0.039055,-4.742202,-3.335934,-4.701749,-3.296879,-0.040452,0.039055
4,13,-0.100001,-4.742202,-3.335934,-4.938721,-3.435935,0.196519,-0.100001
4,14,-0.005987,-4.742202,-3.335934,-4.756980,-3.341921,0.014778,-0.005987
4,15,0.023382,-4.742202,-3.335934,-4.718418,-3.312552,-0.023784,0.023382
4,16,-0.017990,-4.742202,-3.335934,-4.738289,-3.353924,-0.003913,-0.017990
4,17,0.034302,-4.742202,-3.335934,-4.757718,-3.301632,0.015516,0.034302
4,18,0.007771,-4.742202,-3.335934,-4.740050,-3.328164,-0.002152,0.007771
4,19,-0.059717,-4.742202,-3.335934,-4.831597,-3.395651,0.089396,-0.059717
5,0,0.007643,-4.742202,-3.335934,-4.671079,-3.328291,-0.071123,0.007643
5,1,-0.083813,-4.742202,-3.335934,-4.911302,-3.419747,0.169100,-0.083813
5,2,-0.034797,-4.742202,-3.335934,-4.791799,-3.370731,0.049597,-0.034797
5,3,-0.002189,-4.742202,-3.335934,-4.744388,-3.338123,0.002186,-0.002189
5,4,-0.043159,-4.742202,-3.335934,-4.933997,-3.379094,0.191795,-0.043159
5,5,-0.113956,-4.742202,-3.335934,-4.826976,-3.449890,0.084774,-0.113956
5,6,0.035198,-4.742202,-3.335934,-4.710965,-3.300736,-0.031237,0.035198
5,7,-0.016659,-4.742202,-3.335934,-4.764875,-3.352593,0.022674,-0.016659
5,8,0.012657,-4.742202,-3.335934,-4.631968,-3.323277,-0.110234,0.012657
5,9,-0.010919,-4.742202,-3.335934,-4.786528,-3.346853,0.044326,-0.010919
5,10,0.045045,-4.742202,-3.335934,-4.660063,-3.290889,-0.082139,0.045045
5,11,0.086493,-4.742202,-3.335934,-4.616776,-3.249442,-0.125426,0.086493
5,12,-0.088058,-4.742202,-3.335934,-4.823087,-3.423992,0.080885,-0.088058
5,13,0.033977,-4.742202,-3.335934,-4.715384,-3.301957,-0.026818,0.033977
5,14,-0.043112,-4.742202,-3.335934,-4.777858,-3.379046,0.035656,-0.043112
5,15,-0.052612,-4.742202,-3.335934,-4.870747,-3.388546,0.128545,-0.052612
5,16,-0.040778,-4.742202,-3.335934,-4.793643,-3.376712,0.051442,-0.040778
5,17,-0.015956,-4.742202,-3.335934,-4.820984,-3.351890,0.078783,-0.015956
5,18,-0.180677,-4.742202,-3.335934,-4.977572,-3.516612,0.235371,-0.180677
5,19,-0.026656,-4.742202,-3.335934,-4.824010,-3.362591,0.081808,-0.026656
6,0,0.047545,-4.742202,-3.335934,-4.641278,-3.288389,-0.100924,0.047545
6,1,-0.207253,-4.742202,-3.335934,-5.133608,-3.543188,0.391407,-0.207253
6,2,0.021255,-4.742202,-3.335934,-4.637419,-3.314680,-0.104783,0.021255
6,3,0.000979,-4.742202,-3.335934,-4.754107,-3.334955,0.011905,0.000979
6,4,0.065222,-4.742202,-3.335934,-4.582708,-3.270712,-0.159493,0.065222
6,5,0.056407,-4.742202,-3.335934,-4.682103,-3.279527,-0.060099,0.056407
6,6,-0.017940,-4.742202,-3.335934,-4.776027,-3.353874,0.033825,-0.017940
6,7,0.015026,-4.742202,-3.335934,-4.738825,-3.320908,-0.003377,0.015026
