layer,head,score,baseline_logp_target,baseline_logp_distractor,ablated_logp_target,ablated_logp_distractor,delta_target,delta_distractor
0,0,-0.010661,-2.406250,-2.613881,-2.344806,-2.624542,-0.061444,-0.010661
0,1,0.095269,-2.406250,-2.613881,-2.339270,-2.518612,-0.066979,0.095269
0,2,-0.023975,-2.406250,-2.613881,-2.348663,-2.637856,-0.057587,-0.023975
0,3,0.066630,-2.406250,-2.613881,-2.273640,-2.547251,-0.132610,0.066630
0,4,-0.001524,-2.406250,-2.613881,-2.364603,-2.615405,-0.041647,-0.001524
0,5,-0.021000,-2.406250,-2.613881,-2.424004,-2.634881,0.017754,-0.021000
0,6,0.001448,-2.406250,-2.613881,-2.472400,-2.612432,0.066150,0.001448
0,7,0.018372,-2.406250,-2.613881,-2.333697,-2.595509,-0.072553,0.018372
0,8,0.032555,-2.406250,-2.613881,-2.438941,-2.581326,0.032691,0.032555
0,9,-0.032371,-2.406250,-2.613881,-2.417135,-2.646252,0.010885,-0.032371
0,10,0.030159,-2.406250,-2.613881,-2.353818,-2.583722,-0.052432,0.030159
0,11,-0.001080,-2.406250,-2.613881,-2.418447,-2.614960,0.012197,-0.001080
0,12,-0.004662,-2.406250,-2.613881,-2.341206,-2.618543,-0.065044,-0.004662
0,13,0.004650,-2.406250,-2.613881,-2.386516,-2.609231,-0.019734,0.004650
0,14,-0.003326,-2.406250,-2.613881,-2.389462,-2.617207,-0.016788,-0.003326
0,15,-0.020075,-2.406250,-2.613881,-2.379698,-2.633955,-0.026551,-0.020075
0,16,0.022496,-2.406250,-2.613881,-2.387989,-2.591384,-0.018261,0.022496
0,17,-0.023828,-2.406250,-2.613881,-2.431703,-2.637709,0.025453,-0.023828
0,18,0.008559,-2.406250,-2.613881,-2.391473,-2.605322,-0.014777,0.008559
0,19,-0.016916,-2.406250,-2.613881,-2.391463,-2.630797,-0.014787,-0.016916
1,0,0.006876,-2.406250,-2.613881,-2.392886,-2.607004,-0.013363,0.006876
1,1,-0.013554,-2.406250,-2.613881,-2.342416,-2.627435,-0.063834,-0.013554
1,2,-0.064719,-2.406250,-2.613881,-2.239707,-2.678600,-0.166543,-0.064719
1,3,-0.001592,-2.406250,-2.613881,-2.405634,-2.615473,-0.000616,-0.001592
1,4,-0.001271,-2.406250,-2.613881,-2.410115,-2.615152,0.003865,-0.001271
1,5,0.000505,-2.406250,-2.613881,-2.403406,-2.613375,-0.002844,0.000505
1,6,-0.005717,-2.406250,-2.613881,-2.398150,-2.619598,-0.008100,-0.005717
1,7,-0.033083,-2.406250,-2.613881,-2.301344,-2.646964,-0.104906,-0.033083
1,8,0.004719,-2.406250,-2.613881,-2.403409,-2.609162,-0.002841,0.004719
1,9,-0.007337,-2.406250,-2.613881,-2.377669,-2.621218,-0.028581,-0.007337
1,10,0.013357,-2.406250,-2.613881,-2.389153,-2.600524,-0.017096,0.013357
1,11,0.005318,-2.406250,-2.613881,-2.402513,-2.608563,-0.003736,0.005318
1,12,0.004717,-2.406250,-2.613881,-2.399954,-2.609164,-0.006296,0.004717
1,13,-0.003132,-2.406250,-2.613881,-2.383569,-2.617013,-0.022681,-0.003132
1,14,0.003882,-2.406250,-2.613881,-2.388459,-2.609999,-0.017791,0.003882
1,15,0.000411,-2.406250,-2.613881,-2.409607,-2.613470,0.003358,0.000411
1,16,0.001060,-2.406250,-2.613881,-2.357645,-2.612821,-0.048605,0.001060
1,17,0.053732,-2.406250,-2.613881,-2.310341,-2.560149,-0.095909,0.053732
1,18,0.029770,-2.406250,-2.613881,-2.372354,-2.584111,-0.033896,0.029770
1,19,-0.000537,-2.406250,-2.613881,-2.394297,-2.614418,-0.011953,-0.000537
2,0,-0.007210,-2.406250,-2.613881,-2.397314,-2.621091,-0.008936,-0.007210
2,1,-0.001669,-2.406250,-2.613881,-2.410855,-2.615550,0.004605,-0.001669
