layer,head,score,pattern_score,ablation_baseline_nll,ablation_nll,ablation_delta_nll,pattern_pct,ablation_pct,combined_pct
0,0,0.026825,0.026825,0.860877,0.935656,0.074779,0.552156,0.955494,0.552156
0,1,0.037140,0.037140,0.860877,0.819619,-0.041258,0.728790,0.023644,0.023644
0,2,0.025894,0.025894,0.860877,0.866567,0.005691,0.528512,0.799722,0.528512
0,3,0.024658,0.024658,0.860877,0.880073,0.019196,0.506259,0.878999,0.506259
0,4,0.027969,0.027969,0.860877,0.723565,-0.137311,0.573018,0.000000,0.000000
0,5,0.028137,0.028137,0.860877,0.765500,-0.095377,0.577191,0.004172,0.004172
0,6,0.024368,0.024368,0.860877,0.866153,0.005276,0.495132,0.791377,0.495132
0,7,0.020096,0.020096,0.860877,0.930392,0.069515,0.414465,0.954103,0.414465
0,8,0.029816,0.029816,0.860877,0.851732,-0.009145,0.616134,0.089013,0.089013
0,9,0.024643,0.024643,0.860877,0.892431,0.031554,0.504868,0.913769,0.504868
0,10,0.025467,0.025467,0.860877,0.854205,-0.006672,0.524339,0.102921,0.102921
0,11,0.026245,0.026245,0.860877,0.847674,-0.013203,0.543811,0.069541,0.069541
0,12,0.031113,0.031113,0.860877,0.774029,-0.086848,0.646732,0.005563,0.005563
0,13,0.026199,0.026199,0.860877,0.817487,-0.043390,0.542420,0.019471,0.019471
0,14,0.031860,0.031860,0.860877,0.787098,-0.073779,0.656467,0.006954,0.006954
0,15,0.029907,0.029907,0.860877,0.790885,-0.069992,0.618915,0.008345,0.008345
0,16,0.030060,0.030060,0.860877,0.880266,0.019389,0.621697,0.881780,0.621697
0,17,0.028748,0.028748,0.860877,0.843991,-0.016886,0.591099,0.057024,0.057024
0,18,0.028915,0.028915,0.860877,0.879443,0.018566,0.598053,0.877608,0.598053
0,19,0.033569,0.033569,0.860877,0.855315,-0.005562,0.684284,0.105702,0.105702
1,0,0.039337,0.039337,0.860877,0.872504,0.011627,0.774687,0.840056,0.774687
