layer,head,score,pattern_score,ablation_baseline_nll,ablation_nll,ablation_delta_nll,pattern_pct,ablation_pct,combined_pct
0,0,0.026382,0.026382,1.388672,1.235645,-0.153027,0.567455,0.008345,0.008345
0,1,0.028778,0.028778,1.388672,1.410571,0.021899,0.635605,0.858136,0.635605
0,2,0.027039,0.027039,1.388672,1.374302,-0.014371,0.593880,0.093185,0.093185
0,3,0.027039,0.027039,1.388672,1.378448,-0.010224,0.592490,0.109875,0.109875
0,4,0.021530,0.021530,1.388672,1.147040,-0.241632,0.429764,0.002782,0.002782
0,5,0.023270,0.023270,1.388672,1.297647,-0.091026,0.475661,0.013908,0.013908
0,6,0.027832,0.027832,1.388672,1.441684,0.053012,0.616134,0.908206,0.616134
0,7,0.024368,0.024368,1.388672,1.393090,0.004418,0.510431,0.769124,0.510431
0,8,0.032013,0.032013,1.388672,1.440297,0.051625,0.705146,0.905424,0.705146
0,9,0.026093,0.026093,1.388672,1.425423,0.036751,0.557719,0.883171,0.557719
0,10,0.029388,0.029388,1.388672,1.370593,-0.018079,0.653686,0.084840,0.084840
0,11,0.033508,0.033508,1.388672,1.350531,-0.038142,0.734353,0.044506,0.044506
0,12,0.030197,0.030197,1.388672,1.375695,-0.012977,0.675939,0.100139,0.100139
0,13,0.035034,0.035034,1.388672,1.332593,-0.056080,0.764951,0.031989,0.031989
0,14,0.031769,0.031769,1.388672,1.319323,-0.069349,0.700974,0.022253,0.022253
0,15,0.030777,0.030777,1.388672,1.328628,-0.060044,0.687065,0.026426,0.026426
0,16,0.025009,0.025009,1.388672,1.365275,-0.023398,0.531293,0.063978,0.063978
0,17,0.027679,0.027679,1.388672,1.332315,-0.056358,0.610570,0.030598,0.030598
0,18,0.027740,0.027740,1.388672,1.310606,-0.078066,0.613352,0.019471,0.019471
0,19,0.028519,0.028519,1.388672,1.180935,-0.207738,0.630042,0.005563,0.005563
1,0,0.385986,0.385986,1.388672,1.362254,-0.026418,0.998609,0.057024,0.057024
1,1,0.006569,0.006569,1.388672,1.609934,0.221262,0.150209,0.983310,0.150209
1,2,0.076782,0.076782,1.388672,1.403095,0.014422,0.984701,0.837274,0.837274
1,3,0.380859,0.380859,1.388672,1.433324,0.044651,0.995828,0.895688,0.895688
