layer,head,score
0,0,0.028351
0,1,0.028564
0,2,0.029907
0,3,0.032013
0,4,0.029083
0,5,0.029312
0,6,0.028336
0,7,0.029373
0,8,0.029556
0,9,0.028946
0,10,0.028931
0,11,0.030792
0,12,0.028976
0,13,0.028915
0,14,0.029678
0,15,0.029190
0,16,0.031647
0,17,0.027817
0,18,0.029099
0,19,0.029297
1,0,0.014839
1,1,0.013016
1,2,0.016479
1,3,0.005417
1,4,0.010155
1,5,0.009315
1,6,0.013069
1,7,0.006966
1,8,0.014259
1,9,0.014412
1,10,0.006363
1,11,0.006302
1,12,0.014038
1,13,0.019882
1,14,0.014793
1,15,0.016983
1,16,0.007835
1,17,0.000054
1,18,0.011574
1,19,0.005512
2,0,0.015823
2,1,0.014442
2,2,0.000572
2,3,0.020172
2,4,0.007809
2,5,0.005600
2,6,0.012970
2,7,0.013664
2,8,0.018356
2,9,0.017609
2,10,0.016541
2,11,0.008759
2,12,0.010910
2,13,0.018784
2,14,0.022858
2,15,0.019394
2,16,0.010414
2,17,0.002048
2,18,0.013435
2,19,0.002182
3,0,0.336182
3,1,0.150269
3,2,0.093323
3,3,0.003683
3,4,0.301025
3,5,0.038025
3,6,0.025497
3,7,0.053101
3,8,0.082458
3,9,0.022919
3,10,0.082092
3,11,0.022919
3,12,0.193237
3,13,0.018143
3,14,0.215820
3,15,0.046570
3,16,0.048798
3,17,0.088501
3,18,0.040131
3,19,0.300537
4,0,0.012527
4,1,0.023590
4,2,0.015625
4,3,0.022659
4,4,0.024368
4,5,0.398193
4,6,0.040894
4,7,0.066772
4,8,0.026428
4,9,0.033020
4,10,0.023758
4,11,0.000001
4,12,0.148193
4,13,0.054901
4,14,0.014832
4,15,0.034027
4,16,0.023315
4,17,0.030289
4,18,0.023117
4,19,0.038483
5,0,0.008301
5,1,0.014236
5,2,0.011948
5,3,0.021378
5,4,0.110352
5,5,0.018127
5,6,0.011803
5,7,0.010300
5,8,0.031433
5,9,0.017105
5,10,0.017654
5,11,0.875488
5,12,0.016693
5,13,0.016235
5,14,0.033112
5,15,0.011330
5,16,0.029236
5,17,0.030960
5,18,0.035309
5,19,0.019806
6,0,0.018051
6,1,0.033691
6,2,0.027222
6,3,0.014076
6,4,0.019333
6,5,0.109314
6,6,0.017090
6,7,0.025345
6,8,0.026215
6,9,0.023224
6,10,0.018448
6,11,0.029602
6,12,0.010651
6,13,0.022034
6,14,0.020767
6,15,0.031982
6,16,0.023682
6,17,0.014359
6,18,0.018402
6,19,0.024384
7,0,0.020676
7,1,0.012833
7,2,0.014282
7,3,0.018707
7,4,0.021317
7,5,0.019409
7,6,0.018402
7,7,0.019272
7,8,0.019012
7,9,0.015900
7,10,0.014099
7,11,0.017807
7,12,0.016373
7,13,0.018921
7,14,0.011604
7,15,0.021484
7,16,0.018478
7,17,0.026077
7,18,0.015915
7,19,0.005703
8,0,0.008247
8,1,0.027008
8,2,0.006008
8,3,0.009552
8,4,0.000067
8,5,0.007259
8,6,0.001836
8,7,0.000561
8,8,0.002781
8,9,0.003683
8,10,0.000738
8,11,0.005489
8,12,0.002241
