layer,head,score,pattern_score,ablation_baseline_nll,ablation_nll,ablation_delta_nll,pattern_pct,ablation_pct,combined_pct
0,0,0.019180,0.019180,0.860877,0.935656,0.074779,0.321280,0.955494,0.321280
0,1,0.025650,0.025650,0.860877,0.819619,-0.041258,0.435327,0.023644,0.023644
0,2,0.025024,0.025024,0.860877,0.866567,0.005691,0.426982,0.799722,0.426982
0,3,0.028076,0.028076,0.860877,0.880073,0.019196,0.467316,0.878999,0.467316
0,4,0.025940,0.025940,0.860877,0.723565,-0.137311,0.443672,0.000000,0.000000
0,5,0.027969,0.027969,0.860877,0.765500,-0.095377,0.465925,0.004172,0.004172
0,6,0.024918,0.024918,0.860877,0.866153,0.005276,0.425591,0.791377,0.425591
0,7,0.029434,0.029434,0.860877,0.930392,0.069515,0.495132,0.954103,0.495132
0,8,0.023468,0.023468,0.860877,0.851732,-0.009145,0.379694,0.089013,0.089013
0,9,0.024139,0.024139,0.860877,0.892431,0.031554,0.393602,0.913769,0.393602
0,10,0.028702,0.028702,0.860877,0.854205,-0.006672,0.481224,0.102921,0.102921
0,11,0.025467,0.025467,0.860877,0.847674,-0.013203,0.431154,0.069541,0.069541
0,12,0.023941,0.023941,0.860877,0.774029,-0.086848,0.389430,0.005563,0.005563
0,13,0.030273,0.030273,0.860877,0.817487,-0.043390,0.504868,0.019471,0.019471
0,14,0.024353,0.024353,0.860877,0.787098,-0.073779,0.401947,0.006954,0.006954
0,15,0.030350,0.030350,0.860877,0.790885,-0.069992,0.506259,0.008345,0.008345
0,16,0.021011,0.021011,0.860877,0.880266,0.019389,0.347705,0.881780,0.347705
0,17,0.019577,0.019577,0.860877,0.843991,-0.016886,0.326843,0.057024,0.057024
0,18,0.039764,0.039764,0.860877,0.879443,0.018566,0.621697,0.877608,0.621697
0,19,0.023804,0.023804,0.860877,0.855315,-0.005562,0.386648,0.105702,0.105702
1,0,0.045990,0.045990,0.860877,0.872504,0.011627,0.742698,0.840056,0.742698
1,1,0.000000,0.000000,0.860877,0.859955,-0.000922,0.000000,0.184979,0.000000
1,2,0.024750,0.024750,0.860877,0.841825,-0.019051,0.418637,0.051460,0.051460
