layer,head,score,pattern_score,ablation_baseline_nll,ablation_nll,ablation_delta_nll,pattern_pct,ablation_pct,combined_pct
0,0,0.025528,0.025528,1.388672,1.235645,-0.153027,0.453407,0.008345,0.008345
0,1,0.031586,0.031586,1.388672,1.410571,0.021899,0.553547,0.858136,0.553547
0,2,0.026108,0.026108,1.388672,1.374302,-0.014371,0.465925,0.093185,0.093185
0,3,0.021454,0.021454,1.388672,1.378448,-0.010224,0.381085,0.109875,0.109875
0,4,0.029358,0.029358,1.388672,1.147040,-0.241632,0.528512,0.002782,0.002782
0,5,0.028275,0.028275,1.388672,1.297647,-0.091026,0.509040,0.013908,0.013908
0,6,0.028381,0.028381,1.388672,1.441684,0.053012,0.510431,0.908206,0.510431
0,7,0.026657,0.026657,1.388672,1.393090,0.004418,0.477051,0.769124,0.477051
0,8,0.022781,0.022781,1.388672,1.440297,0.051625,0.394993,0.905424,0.394993
0,9,0.028976,0.028976,1.388672,1.425423,0.036751,0.522949,0.883171,0.522949
0,10,0.028427,0.028427,1.388672,1.370593,-0.018079,0.515994,0.084840,0.084840
0,11,0.027634,0.027634,1.388672,1.350531,-0.038142,0.492350,0.044506,0.044506
0,12,0.023010,0.023010,1.388672,1.375695,-0.012977,0.400556,0.100139,0.100139
0,13,0.027786,0.027786,1.388672,1.332593,-0.056080,0.500695,0.031989,0.031989
0,14,0.029404,0.029404,1.388672,1.319323,-0.069349,0.529903,0.022253,0.022253
0,15,0.027863,0.027863,1.388672,1.328628,-0.060044,0.503477,0.026426,0.026426
0,16,0.018768,0.018768,1.388672,1.365275,-0.023398,0.328234,0.063978,0.063978
0,17,0.030014,0.030014,1.388672,1.332315,-0.056358,0.539638,0.030598,0.030598
0,18,0.028076,0.028076,1.388672,1.310606,-0.078066,0.507650,0.019471,0.019471
0,19,0.032806,0.032806,1.388672,1.180935,-0.207738,0.573018,0.005563,0.005563
1,0,0.009026,0.009026,1.388672,1.362254,-0.026418,0.176634,0.057024,0.057024
1,1,0.039825,0.039825,1.388672,1.609934,0.221262,0.677330,0.983310,0.677330
1,2,0.027542,0.027542,1.388672,1.403095,0.014422,0.490960,0.837274,0.490960
1,3,0.013985,0.013985,1.388672,1.433324,0.044651,0.248957,0.895688,0.248957
1,4,0.018280,0.018280,1.388672,1.393752,0.005079,0.318498,0.776078,0.318498
1,5,0.037415,0.037415,1.388672,1.493813,0.105141,0.643950,0.949930,0.643950
1,6,0.000000,0.000000,1.388672,1.407517,0.018845,0.000000,0.849791,0.000000
1,7,0.029633,0.029633,1.388672,1.396218,0.007546,0.532684,0.801113,0.532684
1,8,0.020615,0.020615,1.388672,1.399554,0.010882,0.365786,0.819193,0.365786
