layer,head,score
0,0,0.025757
0,1,0.028259
0,2,0.027435
0,3,0.026779
0,4,0.027374
0,5,0.026932
0,6,0.026306
0,7,0.028320
0,8,0.026138
0,9,0.027985
0,10,0.028168
0,11,0.025818
0,12,0.026230
0,13,0.026291
0,14,0.027252
0,15,0.027725
0,16,0.025848
0,17,0.027390
0,18,0.027130
0,19,0.027771
1,0,0.036835
1,1,0.021927
1,2,0.021255
1,3,0.021957
1,4,0.019150
1,5,0.023087
1,6,0.015381
1,7,0.009941
1,8,0.017349
1,9,0.020706
1,10,0.016663
1,11,0.016449
1,12,0.014030
1,13,0.025009
1,14,0.023758
1,15,0.016800
1,16,0.009285
1,17,0.000105
1,18,0.014999
1,19,0.006977
2,0,0.018661
2,1,0.024155
2,2,0.000928
2,3,0.023071
2,4,0.020142
2,5,0.004662
2,6,0.021637
2,7,0.023422
2,8,0.023193
2,9,0.027817
2,10,0.027451
2,11,0.022491
2,12,0.012482
2,13,0.023926
2,14,0.019730
2,15,0.020493
2,16,0.012558
2,17,0.001684
2,18,0.018753
2,19,0.010643
3,0,0.010422
3,1,0.017136
3,2,0.005508
3,3,0.012390
3,4,0.010124
3,5,0.024216
3,6,0.021912
3,7,0.026443
3,8,0.011459
3,9,0.023834
3,10,0.012505
3,11,0.003109
3,12,0.007198
3,13,0.021652
3,14,0.010376
3,15,0.017746
3,16,0.020691
3,17,0.009842
3,18,0.009811
3,19,0.009109
4,0,0.006710
4,1,0.015594
4,2,0.023941
4,3,0.015106
4,4,0.014488
4,5,0.012321
4,6,0.027527
4,7,0.022873
4,8,0.027313
4,9,0.021194
4,10,0.029510
4,11,0.000001
4,12,0.012001
4,13,0.013222
4,14,0.021103
4,15,0.015625
4,16,0.022324
4,17,0.005596
4,18,0.022934
4,19,0.015884
5,0,0.025620
5,1,0.022507
5,2,0.018005
5,3,0.022095
5,4,0.016266
5,5,0.020172
5,6,0.016647
5,7,0.013519
5,8,0.018082
5,9,0.018372
5,10,0.023163
5,11,0.000047
5,12,0.024017
5,13,0.018280
5,14,0.009941
5,15,0.014992
5,16,0.020416
5,17,0.016800
5,18,0.019852
5,19,0.017624
6,0,0.017334
6,1,0.030212
6,2,0.024765
6,3,0.025452
6,4,0.014824
6,5,0.017685
6,6,0.020020
6,7,0.026413
