layer,head,pattern_score,total_delta_nll,direct_delta_nll,indirect_delta_nll
0,0,0.16638199985027313,-0.0019890000112354755,0.0,-0.0019890000112354755
0,1,0.1892089992761612,-0.0034290000330656767,0.0,-0.0034290000330656767
0,2,0.15942400693893433,-0.0025229998864233494,0.0,-0.0025229998864233494
0,3,0.1297609955072403,0.0014120000414550304,0.0,0.0014120000414550304
0,4,0.14160199463367462,-0.004900000058114529,0.0,-0.004900000058114529
0,5,0.22412100434303284,-0.010483999736607075,0.0,-0.010483999736607075
0,6,0.16333000361919403,0.00012599999899975955,0.0,0.00012599999899975955
0,7,0.1715089976787567,-0.0003420000139158219,0.0,-0.0003420000139158219
0,8,0.15747100114822388,0.0006890000076964498,0.0,0.0006890000076964498
0,9,0.15222199261188507,0.0012829999905079603,0.0,0.0012829999905079603
0,10,0.16638199985027313,0.0020830000285059214,0.0,0.0020830000285059214
0,11,0.19799800217151642,-0.0029619999695569277,0.0,-0.0029619999695569277
0,12,0.21728500723838806,-0.007526000030338764,0.0,-0.007526000030338764
0,13,0.17395000159740448,-0.0019829999655485153,0.0,-0.0019829999655485153
0,14,0.1822510063648224,-0.0014819999923929572,0.0,-0.0014819999923929572
0,15,0.08953899890184402,-0.0011500000255182385,0.0,-0.0011500000255182385
0,16,0.18212899565696716,0.003911999985575676,0.0,0.003911999985575676
0,17,0.18810999393463135,-0.00025499999173916876,0.0,-0.00025499999173916876
0,18,0.16223099827766418,-0.001661999966017902,0.0,-0.001661999966017902
0,19,0.16918900609016418,-0.0002469999890308827,0.0,-0.0002469999890308827
1,0,0.13073700666427612,-0.0016009999671950936,0.0,-0.0016009999671950936
1,1,0.21423299610614777,-0.002828999888151884,0.0,-0.002828999888151884
1,2,0.023636000230908394,-0.0027280000504106283,0.0,-0.0027280000504106283
1,3,0.14270000159740448,-0.009607000276446342,0.0,-0.009607000276446342
1,4,0.06756599992513657,-8.70000003487803e-05,0.0,-8.70000003487803e-05
1,5,0.2469480037689209,-0.0007789999945089221,0.0,-0.0007789999945089221
1,6,0.15429699420928955,-0.01806199923157692,0.0,-0.01806199923157692
1,7,0.18481400609016418,-0.008674999698996544,0.0,-0.008674999698996544
1,8,0.1735839992761612,0.001155999954789877,0.0,0.001155999954789877
1,9,0.23022499680519104,-0.0010939999483525753,0.0,-0.0010939999483525753
1,10,0.10150100290775299,-0.0033909999765455723,0.0,-0.0033909999765455723
1,11,0.17382800579071045,0.003085999982431531,0.0,0.003085999982431531
1,12,0.12206999957561493,0.013930999673902988,0.0,0.013930999673902988
1,13,0.13879400491714478,-0.0023789999540895224,0.0,-0.0023789999540895224
1,14,0.25463899970054626,0.0008490000036545098,0.0,0.0008490000036545098
1,15,0.09912099689245224,-0.0006259999936446548,0.0,-0.0006259999936446548
1,16,0.1536870002746582,-0.0018579999450594187,0.0,-0.0018579999450594187
1,17,0.044036999344825745,0.0007479999912902713,0.0,0.0007479999912902713
1,18,0.12878400087356567,0.00010399999882793054,0.0,0.00010399999882793054
1,19,0.2856450080871582,0.0018139999592676759,0.0,0.0018139999592676759
2,0,0.13085900247097015,-0.0011070000473409891,0.0,-0.0011070000473409891
2,1,0.17065399885177612,-0.003321999916806817,0.0,-0.003321999916806817
2,2,0.11010699719190598,-0.002500999951735139,0.0,-0.002500999951735139
2,3,0.14477500319480896,-0.003722999943420291,0.0,-0.003722999943420291
2,4,0.14074699580669403,-0.0014100000262260437,0.0,-0.0014100000262260437
2,5,0.10083000361919403,-0.0013689999468624592,0.0,-0.0013689999468624592
2,6,0.16638199985027313,0.0010890000266954303,0.0,0.0010890000266954303
2,7,0.1323239952325821,0.0004670000053010881,0.0,0.0004670000053010881
2,8,0.1610109955072403,-0.004805999808013439,0.0,-0.004805999808013439
2,9,0.14563000202178955,0.0038880000356584787,0.0,0.0038880000356584787
2,10,0.16699199378490448,-0.0031510000117123127,0.0,-0.0031510000117123127
2,11,0.07311999797821045,0.002959999954327941,0.0,0.002959999954327941
2,12,0.160644993185997,-0.0006370000191964209,0.0,-0.0006370000191964209
2,13,0.08081100136041641,0.008930999785661697,0.0,0.008930999785661697
2,14,0.15734900534152985,-0.004681000020354986,0.0,-0.004681000020354986
2,15,0.15356400609016418,-0.006535999942570925,0.0,-0.006535999942570925
2,16,0.07141099870204926,0.003246000036597252,0.0,0.003246000036597252
2,17,0.1722410023212433,-0.00826600007712841,0.0,-0.00826600007712841
2,18,0.07476799935102463,0.00035200000274926424,0.0,0.00035200000274926424
2,19,0.1163330003619194,-0.005477000027894974,0.0,-0.005477000027894974
3,0,0.13073700666427612,0.016013000160455704,0.0,0.016013000160455704
3,1,0.18115200102329254,0.003421999979764223,0.0,0.003421999979764223
3,2,0.10211200267076492,-0.006819999776780605,0.0,-0.006819999776780605
3,3,0.2009280025959015,0.005468999966979027,0.0,0.005468999966979027
3,4,0.14074699580669403,-0.0005840000230818987,0.0,-0.0005840000230818987
3,5,0.13708500564098358,1.1000000085914508e-05,0.0,1.1000000085914508e-05
3,6,0.11102300137281418,0.031615000218153,0.0,0.031615000218153
3,7,0.11737100034952164,-0.010250000283122063,0.0,-0.010250000283122063
3,8,0.28271499276161194,-0.0014570000348612666,0.0,-0.0014570000348612666
3,9,0.15331999957561493,0.0007210000185295939,0.0,0.0007210000185295939
3,10,0.11773700267076492,0.01424499973654747,0.0,0.01424499973654747
3,11,0.16552700102329254,-0.0010550000006332994,0.0,-0.0010550000006332994
3,12,0.12853999435901642,0.058713000267744064,0.0,0.058713000267744064
3,13,0.1501459926366806,-0.0016220000106841326,0.0,-0.0016220000106841326
3,14,0.1501459926366806,-4.999999873689376e-06,0.0,-4.999999873689376e-06
3,15,0.167603000998497,0.0008720000041648746,0.0,0.0008720000041648746
3,16,0.09863299876451492,0.04968399927020073,0.0,0.04968399927020073
3,17,0.1428219974040985,0.002848000032827258,0.0,0.002848000032827258
3,18,0.1315920054912567,0.0014830000000074506,0.0,0.0014830000000074506
3,19,0.15393100678920746,0.0011350000277161598,0.0,0.0011350000277161598
4,0,0.32617199420928955,-0.016090000048279762,0.0,-0.016090000048279762
4,1,0.21581999957561493,-0.009309000335633755,0.0,-0.009309000335633755
4,2,0.36303699016571045,-0.018691999837756157,0.0,-0.018691999837756157
4,3,0.19824199378490448,-0.0036299999337643385,0.0,-0.0036299999337643385
4,4,0.21032699942588806,-0.014322999864816666,0.0,-0.014322999864816666
4,5,0.1679690033197403,-0.014866000041365623,0.0,-0.014866000041365623
