layer,head,score,pattern_score,ablation_baseline_nll,ablation_nll,ablation_delta_nll,pattern_pct,ablation_pct,combined_pct
0,0,0.166382,0.166382,3.725615,3.723626,-0.001989,0.696801,0.130737,0.130737
0,1,0.189209,0.189209,3.725615,3.722186,-0.003429,0.823366,0.093185,0.093185
0,2,0.159424,0.159424,3.725615,3.723092,-0.002523,0.663421,0.118220,0.118220
0,3,0.129761,0.129761,3.725615,3.727027,0.001412,0.452017,0.799722,0.452017
0,4,0.141602,0.141602,3.725615,3.720715,-0.004900,0.543811,0.072323,0.072323
0,5,0.224121,0.224121,3.725615,3.715131,-0.010484,0.894298,0.037552,0.037552
0,6,0.163330,0.163330,3.725615,3.725741,0.000126,0.681502,0.617524,0.617524
0,7,0.171509,0.171509,3.725615,3.725273,-0.000342,0.731572,0.251739,0.251739
0,8,0.157471,0.157471,3.725615,3.726304,0.000689,0.653686,0.739917,0.653686
0,9,0.152222,0.152222,3.725615,3.726898,0.001283,0.613352,0.791377,0.613352
0,10,0.166382,0.166382,3.725615,3.727698,0.002083,0.699583,0.824757,0.699583
0,11,0.197998,0.197998,3.725615,3.722653,-0.002962,0.837274,0.104312,0.104312
0,12,0.217285,0.217285,3.725615,3.718089,-0.007526,0.887344,0.054242,0.054242
0,13,0.173950,0.173950,3.725615,3.723632,-0.001983,0.746871,0.132128,0.132128
0,14,0.182251,0.182251,3.725615,3.724133,-0.001482,0.795549,0.151599,0.151599
0,15,0.089539,0.089539,3.725615,3.724465,-0.001150,0.171071,0.172462,0.171071
0,16,0.182129,0.182129,3.725615,3.729527,0.003912,0.794159,0.877608,0.794159
0,17,0.188110,0.188110,3.725615,3.725360,-0.000255,0.817802,0.271210,0.271210
0,18,0.162231,0.162231,3.725615,3.723953,-0.001662,0.677330,0.143255,0.143255
0,19,0.169189,0.169189,3.725615,3.725368,-0.000247,0.719054,0.275382,0.275382
1,0,0.130737,0.130737,3.725615,3.724015,-0.001601,0.458971,0.146036,0.146036
1,1,0.214233,0.214233,3.725615,3.722786,-0.002829,0.881780,0.107093,0.107093
1,2,0.023636,0.023636,3.725615,3.722887,-0.002728,0.004172,0.112656,0.004172
1,3,0.142700,0.142700,3.725615,3.716008,-0.009607,0.557719,0.041725,0.041725
1,4,0.067566,0.067566,3.725615,3.725528,-0.000087,0.037552,0.344923,0.037552
1,5,0.246948,0.246948,3.725615,3.724836,-0.000779,0.923505,0.197497,0.197497
1,6,0.154297,0.154297,3.725615,3.707553,-0.018062,0.630042,0.012517,0.012517
1,7,0.184814,0.184814,3.725615,3.716940,-0.008675,0.809458,0.045897,0.045897
1,8,0.173584,0.173584,3.725615,3.726771,0.001156,0.742698,0.787204,0.742698
1,9,0.230225,0.230225,3.725615,3.724521,-0.001094,0.908206,0.178025,0.178025
1,10,0.101501,0.101501,3.725615,3.722224,-0.003391,0.244784,0.095967,0.095967
1,11,0.173828,0.173828,3.725615,3.728701,0.003086,0.745480,0.862309,0.745480
1,12,0.122070,0.122070,3.725615,3.739546,0.013931,0.403338,0.958275,0.403338
1,13,0.138794,0.138794,3.725615,3.723236,-0.002379,0.510431,0.123783,0.123783
1,14,0.254639,0.254639,3.725615,3.726464,0.000849,0.937413,0.755216,0.755216
1,15,0.099121,0.099121,3.725615,3.724989,-0.000626,0.232267,0.218359,0.218359
1,16,0.153687,0.153687,3.725615,3.723757,-0.001858,0.624478,0.137691,0.137691
1,17,0.044037,0.044037,3.725615,3.726363,0.000748,0.011127,0.751043,0.011127
1,18,0.128784,0.128784,3.725615,3.725719,0.000104,0.446453,0.598053,0.446453
1,19,0.285645,0.285645,3.725615,3.727429,0.001814,0.956885,0.813630,0.813630
2,0,0.130859,0.130859,3.725615,3.724509,-0.001107,0.460362,0.176634,0.176634
2,1,0.170654,0.170654,3.725615,3.722293,-0.003322,0.723227,0.097357,0.097357
