layer,head,score,pattern_score,ablation_baseline_nll,ablation_nll,ablation_delta_nll,pattern_pct,ablation_pct,combined_pct
0,0,0.153931,0.153931,3.857038,3.840484,-0.016555,0.635605,0.020862,0.020862
0,1,0.153687,0.153687,3.857038,3.863338,0.006299,0.634214,0.906815,0.634214
0,2,0.187256,0.187256,3.857038,3.861701,0.004663,0.787204,0.880389,0.787204
0,3,0.214600,0.214600,3.857038,3.862082,0.005044,0.869263,0.887344,0.869263
0,4,0.145020,0.145020,3.857038,3.840962,-0.016076,0.564673,0.022253,0.022253
0,5,0.195923,0.195923,3.857038,3.859907,0.002869,0.824757,0.838665,0.824757
0,6,0.146240,0.146240,3.857038,3.860178,0.003139,0.574409,0.847010,0.574409
0,7,0.138550,0.138550,3.857038,3.854335,-0.002704,0.509040,0.152990,0.152990
0,8,0.148682,0.148682,3.857038,3.856809,-0.000230,0.585535,0.339360,0.339360
0,9,0.129761,0.129761,3.857038,3.855229,-0.001809,0.435327,0.180807,0.180807
0,10,0.239136,0.239136,3.857038,3.853577,-0.003461,0.910987,0.129346,0.129346
0,11,0.135132,0.135132,3.857038,3.851140,-0.005899,0.485396,0.090403,0.090403
0,12,0.236694,0.236694,3.857038,3.852657,-0.004382,0.906815,0.112656,0.112656
0,13,0.142822,0.142822,3.857038,3.853371,-0.003668,0.545202,0.126565,0.126565
0,14,0.146851,0.146851,3.857038,3.857794,0.000756,0.578581,0.724618,0.578581
0,15,0.186157,0.186157,3.857038,3.856560,-0.000478,0.781641,0.286509,0.286509
0,16,0.423096,0.423096,3.857038,3.851739,-0.005299,0.983310,0.100139,0.100139
0,17,0.196167,0.196167,3.857038,3.849133,-0.007905,0.826147,0.059805,0.059805
0,18,0.255371,0.255371,3.857038,3.850794,-0.006245,0.929068,0.080668,0.080668
0,19,0.173828,0.173828,3.857038,3.843326,-0.013712,0.749652,0.029207,0.029207
1,0,0.040558,0.040558,3.857038,3.855860,-0.001178,0.018081,0.214186,0.018081
1,1,0.148560,0.148560,3.857038,3.858096,0.001058,0.582754,0.748261,0.582754
1,2,0.085144,0.085144,3.857038,3.866047,0.009009,0.137691,0.933241,0.137691
1,3,0.022812,0.022812,3.857038,3.863051,0.006012,0.008345,0.902643,0.008345
1,4,0.167603,0.167603,3.857038,3.857718,0.000680,0.716273,0.716273,0.716273
1,5,0.098816,0.098816,3.857038,3.861471,0.004433,0.216968,0.874826,0.216968
1,6,0.165405,0.165405,3.857038,3.860096,0.003057,0.702364,0.842837,0.702364
1,7,0.133057,0.133057,3.857038,3.859695,0.002657,0.465925,0.826147,0.465925
1,8,0.137573,0.137573,3.857038,3.858885,0.001847,0.500695,0.794159,0.500695
1,9,0.198975,0.198975,3.857038,3.856851,-0.000187,0.833102,0.356050,0.356050
1,10,0.093323,0.093323,3.857038,3.859780,0.002742,0.183588,0.831711,0.183588
1,11,0.019806,0.019806,3.857038,3.865573,0.008534,0.006954,0.927677,0.006954
1,12,0.056213,0.056213,3.857038,3.863120,0.006082,0.033380,0.904033,0.033380
1,13,0.285645,0.285645,3.857038,3.864401,0.007363,0.958275,0.917942,0.917942
1,14,0.050903,0.050903,3.857038,3.859599,0.002561,0.029207,0.819193,0.029207
1,15,0.055573,0.055573,3.857038,3.865769,0.008730,0.031989,0.930459,0.031989
1,16,0.069763,0.069763,3.857038,3.854153,-0.002886,0.059805,0.151599,0.059805
1,17,0.191895,0.191895,3.857038,3.861094,0.004055,0.808067,0.869263,0.808067
1,18,0.119629,0.119629,3.857038,3.850807,-0.006231,0.353268,0.082058,0.082058
1,19,0.213013,0.213013,3.857038,3.856752,-0.000286,0.866481,0.325452,0.325452
2,0,0.152588,0.152588,3.857038,3.870162,0.013124,0.620306,0.958275,0.620306
2,1,0.195557,0.195557,3.857038,3.860580,0.003542,0.821975,0.853964,0.821975
2,2,0.136719,0.136719,3.857038,3.868423,0.011385,0.497914,0.949930,0.497914
2,3,0.123352,0.123352,3.857038,3.867078,0.010039,0.378303,0.941586,0.378303
2,4,0.160034,0.160034,3.857038,3.858192,0.001153,0.670376,0.755216,0.670376
2,5,0.139160,0.139160,3.857038,3.868825,0.011786,0.514604,0.952712,0.514604
2,6,0.103699,0.103699,3.857038,3.861417,0.004379,0.254520,0.873435,0.254520
2,7,0.285645,0.285645,3.857038,3.899667,0.042629,0.956885,0.987483,0.956885
2,8,0.163330,0.163330,3.857038,3.852567,-0.004471,0.691238,0.109875,0.109875
2,9,0.108643,0.108643,3.857038,3.874470,0.017431,0.293463,0.963839,0.293463
2,10,0.151733,0.151733,3.857038,3.833794,-0.023244,0.611961,0.006954,0.006954
2,11,0.135376,0.135376,3.857038,3.862610,0.005571,0.486787,0.898470,0.486787
2,12,0.147095,0.147095,3.857038,3.870078,0.013039,0.579972,0.956885,0.579972
2,13,0.148926,0.148926,3.857038,3.876531,0.019493,0.588317,0.969402,0.588317
2,14,0.098999,0.098999,3.857038,3.863911,0.006873,0.218359,0.912378,0.218359
2,15,0.094727,0.094727,3.857038,3.853615,-0.003423,0.190542,0.130737,0.130737
2,16,0.092529,0.092529,3.857038,3.850938,-0.006100,0.180807,0.084840,0.084840
2,17,0.140259,0.140259,3.857038,3.861842,0.004804,0.522949,0.884562,0.522949
2,18,0.003757,0.003757,3.857038,3.881452,0.024413,0.000000,0.972184,0.000000
2,19,0.162354,0.162354,3.857038,3.860626,0.003587,0.688456,0.858136,0.688456
3,0,0.144531,0.144531,3.857038,3.877918,0.020879,0.559110,0.970793,0.559110
3,1,0.152832,0.152832,3.857038,3.848495,-0.008543,0.625869,0.057024,0.057024
3,2,0.140137,0.140137,3.857038,3.855106,-0.001933,0.521558,0.175243,0.175243
3,3,0.104736,0.104736,3.857038,3.842089,-0.014949,0.258693,0.026426,0.026426
3,4,0.160889,0.160889,3.857038,3.823009,-0.034030,0.680111,0.002782,0.002782
3,5,0.208984,0.208984,3.857038,3.852340,-0.004699,0.852573,0.108484,0.108484
3,6,0.133423,0.133423,3.857038,3.852330,-0.004709,0.471488,0.107093,0.107093
3,7,0.148560,0.148560,3.857038,3.856955,-0.000084,0.584145,0.404729,0.404729
3,8,0.210693,0.210693,3.857038,3.859456,0.002418,0.858136,0.816412,0.816412
3,9,0.079590,0.079590,3.857038,3.856100,-0.000938,0.115438,0.230876,0.115438
3,10,0.150269,0.150269,3.857038,3.840221,-0.016818,0.598053,0.018081,0.018081
3,11,0.146729,0.146729,3.857038,3.860736,0.003697,0.577191,0.862309,0.577191
3,12,0.123657,0.123657,3.857038,3.856298,-0.000741,0.379694,0.251739,0.251739
3,13,0.188599,0.188599,3.857038,3.856022,-0.001016,0.792768,0.221140,0.221140
3,14,0.085510,0.085510,3.857038,3.869234,0.012195,0.141864,0.955494,0.141864
3,15,0.151855,0.151855,3.857038,3.829691,-0.027348,0.614743,0.004172,0.004172
