layer,head,score
0,0,0.166504
0,1,0.178833
0,2,0.156860
0,3,0.161499
0,4,0.150146
0,5,0.165405
0,6,0.166992
0,7,0.161011
0,8,0.153076
0,9,0.169312
0,10,0.158936
0,11,0.169678
0,12,0.161865
0,13,0.153442
0,14,0.166138
0,15,0.161255
0,16,0.152344
0,17,0.169678
0,18,0.161011
0,19,0.166992
1,0,0.286621
1,1,0.191528
1,2,0.200928
1,3,0.180298
1,4,0.163696
1,5,0.181396
1,6,0.202026
1,7,0.208008
1,8,0.174561
1,9,0.266357
1,10,0.210693
1,11,0.169800
1,12,0.251953
1,13,0.198364
1,14,0.186157
1,15,0.262451
1,16,0.239136
1,17,0.206177
1,18,0.193359
1,19,0.290283
2,0,0.164062
2,1,0.178223
2,2,0.276123
2,3,0.152954
2,4,0.179443
2,5,0.159424
2,6,0.187134
2,7,0.163208
2,8,0.162720
2,9,0.169434
2,10,0.163208
2,11,0.199341
2,12,0.197021
2,13,0.149780
2,14,0.155396
2,15,0.145142
2,16,0.200684
2,17,0.208008
2,18,0.256592
2,19,0.184814
3,0,0.085205
3,1,0.099548
3,2,0.132568
3,3,0.203857
3,4,0.069702
3,5,0.194946
3,6,0.168823
3,7,0.160156
3,8,0.101074
3,9,0.169434
3,10,0.103333
3,11,0.128906
3,12,0.061920
3,13,0.210083
3,14,0.088013
3,15,0.133423
3,16,0.147339
3,17,0.085327
3,18,0.217651
3,19,0.082825
4,0,0.133789
4,1,0.125488
4,2,0.134521
4,3,0.169434
4,4,0.201782
4,5,0.072510
4,6,0.135742
4,7,0.152954
4,8,0.179565
4,9,0.176392
4,10,0.185913
4,11,0.196533
4,12,0.089783
4,13,0.115845
4,14,0.192139
4,15,0.122864
4,16,0.126221
4,17,0.119873
4,18,0.180176
4,19,0.107483
5,0,0.132202
5,1,0.116638
5,2,0.231323
5,3,0.132080
5,4,0.104431
5,5,0.121887
5,6,0.249023
5,7,0.198486
5,8,0.101013
5,9,0.140991
5,10,0.156494
5,11,0.009644
5,12,0.158936
5,13,0.138550
5,14,0.100952
5,15,0.182861
5,16,0.183838
