layer,head,score,baseline_logp_p0,baseline_logp_p1,baseline_logp_p2,ablated_logp_p0,delta_p0,ablated_logp_p1,delta_p1,ablated_logp_p2,delta_p2
0,0,-0.002811,-6.205396,-3.129951,-3.270236,-6.206229,0.000834,-3.130939,0.000988,-3.259981,-0.010255
0,1,-0.007091,-6.205396,-3.129951,-3.270236,-6.184762,-0.020634,-3.122743,-0.007207,-3.276805,0.006569
0,2,0.033413,-6.205396,-3.129951,-3.270236,-6.275772,0.070376,-3.155406,0.025456,-3.274643,0.004407
0,3,0.017700,-6.205396,-3.129951,-3.270236,-6.245892,0.040496,-3.133156,0.003206,-3.279634,0.009398
0,4,-0.154167,-6.205396,-3.129951,-3.270236,-5.805451,-0.399945,-3.089625,-0.040325,-3.248004,-0.022232
0,5,-0.105456,-6.205396,-3.129951,-3.270236,-5.937190,-0.268206,-3.083662,-0.046289,-3.268362,-0.001874
0,6,-0.016961,-6.205396,-3.129951,-3.270236,-6.151092,-0.054304,-3.142984,0.013033,-3.260623,-0.009613
0,7,0.039578,-6.205396,-3.129951,-3.270236,-6.304271,0.098875,-3.150726,0.020776,-3.269321,-0.000915
0,8,0.008333,-6.205396,-3.129951,-3.270236,-6.237041,0.031645,-3.118733,-0.011218,-3.274807,0.004571
0,9,0.009122,-6.205396,-3.129951,-3.270236,-6.192770,-0.012625,-3.157349,0.027399,-3.282828,0.012592
0,10,-0.015690,-6.205396,-3.129951,-3.270236,-6.154860,-0.050535,-3.125733,-0.004217,-3.277920,0.007684
0,11,-0.019939,-6.205396,-3.129951,-3.270236,-6.125417,-0.079979,-3.155151,0.025200,-3.265199,-0.005037
0,12,-0.124374,-6.205396,-3.129951,-3.270236,-5.890841,-0.314555,-3.090200,-0.039750,-3.251418,-0.018818
0,13,-0.012402,-6.205396,-3.129951,-3.270236,-6.170985,-0.034410,-3.133028,0.003077,-3.264363,-0.005873
0,14,-0.087739,-6.205396,-3.129951,-3.270236,-5.964484,-0.240912,-3.123931,-0.006019,-3.253949,-0.016287
0,15,-0.030887,-6.205396,-3.129951,-3.270236,-6.104832,-0.100564,-3.137475,0.007524,-3.270616,0.000380
0,16,0.040853,-6.205396,-3.129951,-3.270236,-6.270257,0.064861,-3.168097,0.038146,-3.289789,0.019553
0,17,-0.009067,-6.205396,-3.129951,-3.270236,-6.169614,-0.035782,-3.148979,0.019029,-3.259787,-0.010449
0,18,0.046064,-6.205396,-3.129951,-3.270236,-6.320190,0.114794,-3.144489,0.014539,-3.279094,0.008858
0,19,-0.007666,-6.205396,-3.129951,-3.270236,-6.168162,-0.037234,-3.142027,0.012076,-3.272397,0.002161
1,0,0.072048,-6.205396,-3.129951,-3.270236,-6.404325,0.198930,-3.127672,-0.002278,-3.289728,0.019492
1,1,-0.013810,-6.205396,-3.129951,-3.270236,-6.172185,-0.033210,-3.120876,-0.009074,-3.271089,0.000853
1,2,-0.024020,-6.205396,-3.129951,-3.270236,-6.158160,-0.047235,-3.112279,-0.017672,-3.263084,-0.007152
1,3,0.036148,-6.205396,-3.129951,-3.270236,-6.314462,0.109066,-3.158736,0.028786,-3.240828,-0.029408
1,4,0.032885,-6.205396,-3.129951,-3.270236,-6.276785,0.071390,-3.142909,0.012959,-3.284542,0.014306
1,5,0.002888,-6.205396,-3.129951,-3.270236,-6.225442,0.020047,-3.119159,-0.010792,-3.269646,-0.000590
1,6,-0.233292,-6.205396,-3.129951,-3.270236,-5.329511,-0.875885,-3.329184,0.199233,-3.247013,-0.023223
1,7,-0.051863,-6.205396,-3.129951,-3.270236,-6.102218,-0.103178,-3.108572,-0.021378,-3.239202,-0.031034
1,8,-0.007837,-6.205396,-3.129951,-3.270236,-6.187534,-0.017861,-3.122811,-0.007139,-3.271727,0.001491
1,9,-0.000512,-6.205396,-3.129951,-3.270236,-6.212348,0.006952,-3.126203,-0.003748,-3.265496,-0.004740
1,10,0.028014,-6.205396,-3.129951,-3.270236,-6.301600,0.096204,-3.111300,-0.018651,-3.276724,0.006488
1,11,0.069932,-6.205396,-3.129951,-3.270236,-6.375109,0.169713,-3.147240,0.017289,-3.293030,0.022794
1,12,-0.022210,-6.205396,-3.129951,-3.270236,-6.158108,-0.047288,-3.105113,-0.024838,-3.275732,0.005496
1,13,-0.029784,-6.205396,-3.129951,-3.270236,-6.131458,-0.073938,-3.126423,-0.003527,-3.258350,-0.011886
1,14,0.035439,-6.205396,-3.129951,-3.270236,-6.308708,0.103312,-3.131972,0.002021,-3.271219,0.000983
1,15,0.007882,-6.205396,-3.129951,-3.270236,-6.233997,0.028602,-3.111362,-0.018589,-3.283870,0.013634
1,16,0.018426,-6.205396,-3.129951,-3.270236,-6.271965,0.066569,-3.124807,-0.005144,-3.264089,-0.006147
1,17,0.483143,-6.205396,-3.129951,-3.270236,-7.565864,1.360468,-3.220238,0.090288,-3.268909,-0.001327
1,18,0.023647,-6.205396,-3.129951,-3.270236,-6.296270,0.090875,-3.108971,-0.020979,-3.271282,0.001046
1,19,0.003406,-6.205396,-3.129951,-3.270236,-6.204129,-0.001266,-3.132525,0.002575,-3.279146,0.008910
