model,layer,metric,value
residual,0,kl_to_final,4.863412
residual,1,kl_to_final,5.868329
residual,2,kl_to_final,5.762605
residual,3,kl_to_final,5.245352
residual,4,kl_to_final,4.781565
residual,5,kl_to_final,4.883488
residual,6,kl_to_final,5.076259
residual,7,kl_to_final,4.924448
residual,8,kl_to_final,5.078573
residual,9,kl_to_final,5.103277
residual,10,kl_to_final,5.150693
residual,11,kl_to_final,5.186654
residual,12,kl_to_final,5.117762
residual,13,kl_to_final,4.774636
residual,14,kl_to_final,4.243243
residual,15,kl_to_final,4.096715
residual,16,kl_to_final,4.257577
residual,17,kl_to_final,4.028736
residual,18,kl_to_final,3.623789
residual,19,kl_to_final,3.215038
residual,20,kl_to_final,2.983285
residual,21,kl_to_final,2.862678
residual,22,kl_to_final,2.854665
residual,23,kl_to_final,2.844368
residual,24,kl_to_final,2.775543
residual,25,kl_to_final,2.721257
residual,26,kl_to_final,2.639938
residual,27,kl_to_final,2.523706
residual,28,kl_to_final,2.465927
residual,29,kl_to_final,2.270555
residual,30,kl_to_final,2.006996
residual,31,kl_to_final,1.749571
residual,32,kl_to_final,1.382073
residual,33,kl_to_final,0.864398
residual,34,kl_to_final,0.186866
residual,35,kl_to_final,0.000000
residual,0,top1_acc,0.069836
residual,1,top1_acc,0.063053
residual,2,top1_acc,0.064365
residual,3,top1_acc,0.065799
residual,4,top1_acc,0.069110
residual,5,top1_acc,0.066566
residual,6,top1_acc,0.064951
residual,7,top1_acc,0.055118
residual,8,top1_acc,0.057097
residual,9,top1_acc,0.059943
residual,10,top1_acc,0.061983
residual,11,top1_acc,0.065576
residual,12,top1_acc,0.069513
residual,13,top1_acc,0.084212
residual,14,top1_acc,0.096467
residual,15,top1_acc,0.105290
residual,16,top1_acc,0.107672
residual,17,top1_acc,0.115041
residual,18,top1_acc,0.133959
residual,19,top1_acc,0.207066
residual,20,top1_acc,0.221906
residual,21,top1_acc,0.239087
residual,22,top1_acc,0.252473
residual,23,top1_acc,0.260287
residual,24,top1_acc,0.270563
residual,25,top1_acc,0.282778
residual,26,top1_acc,0.293398
residual,27,top1_acc,0.302887
residual,28,top1_acc,0.302766
residual,29,top1_acc,0.320170
residual,30,top1_acc,0.337129
residual,31,top1_acc,0.343771
residual,32,top1_acc,0.349586
residual,33,top1_acc,0.357339
residual,34,top1_acc,0.376055
residual,35,top1_acc,0.381769
residual,0,mean_logp_true,-8.639134
residual,1,mean_logp_true,-9.653393
residual,2,mean_logp_true,-9.553371
residual,3,mean_logp_true,-9.045058
residual,4,mean_logp_true,-8.585544
residual,5,mean_logp_true,-8.685915
residual,6,mean_logp_true,-8.883997
residual,7,mean_logp_true,-8.737626
residual,8,mean_logp_true,-8.898167
residual,9,mean_logp_true,-8.921546
residual,10,mean_logp_true,-8.974731
residual,11,mean_logp_true,-9.007601
residual,12,mean_logp_true,-8.943241
residual,13,mean_logp_true,-8.613239
residual,14,mean_logp_true,-8.096993
residual,15,mean_logp_true,-7.954211
residual,16,mean_logp_true,-8.107799
residual,17,mean_logp_true,-7.881177
residual,18,mean_logp_true,-7.480076
residual,19,mean_logp_true,-7.054895
residual,20,mean_logp_true,-6.822146
residual,21,mean_logp_true,-6.707616
residual,22,mean_logp_true,-6.675534
residual,23,mean_logp_true,-6.671507
residual,24,mean_logp_true,-6.607986
residual,25,mean_logp_true,-6.542834
residual,26,mean_logp_true,-6.463719
residual,27,mean_logp_true,-6.361767
residual,28,mean_logp_true,-6.328365
residual,29,mean_logp_true,-6.129859
residual,30,mean_logp_true,-5.840919
residual,31,mean_logp_true,-5.583387
residual,32,mean_logp_true,-5.224657
residual,33,mean_logp_true,-4.711097
residual,34,mean_logp_true,-4.013474
residual,35,mean_logp_true,-3.827618
residual,0,entropy,3.742964
residual,1,entropy,3.069109
residual,2,entropy,3.101564
residual,3,entropy,3.420105
residual,4,entropy,3.716071
residual,5,entropy,3.564265
residual,6,entropy,3.356099
residual,7,entropy,3.646195
residual,8,entropy,3.405867
residual,9,entropy,3.314767
residual,10,entropy,3.222925
residual,11,entropy,3.113051
residual,12,entropy,3.011298
residual,13,entropy,2.981465
residual,14,entropy,3.048134
residual,15,entropy,3.019813
residual,16,entropy,2.804344
residual,17,entropy,2.835813
residual,18,entropy,2.828958
residual,19,entropy,2.762083
residual,20,entropy,2.586017
residual,21,entropy,2.361777
residual,22,entropy,2.196605
residual,23,entropy,2.036252
residual,24,entropy,1.955168
residual,25,entropy,1.836462
residual,26,entropy,1.736422
residual,27,entropy,1.691024
residual,28,entropy,1.656619
residual,29,entropy,1.615222
residual,30,entropy,1.611997
residual,31,entropy,1.677868
residual,32,entropy,1.833649
residual,33,entropy,2.128759
residual,34,entropy,2.914994
residual,35,entropy,3.786202
mhc,0,kl_to_final,7.348099
mhc,1,kl_to_final,6.627222
mhc,2,kl_to_final,6.289858
mhc,3,kl_to_final,6.383529
mhc,4,kl_to_final,6.339224
mhc,5,kl_to_final,5.849898
mhc,6,kl_to_final,5.054656
mhc,7,kl_to_final,4.090058
mhc,8,kl_to_final,3.859729
mhc,9,kl_to_final,3.568778
mhc,10,kl_to_final,3.210497
mhc,11,kl_to_final,2.839376
mhc,12,kl_to_final,2.570341
mhc,13,kl_to_final,2.329373
mhc,14,kl_to_final,2.142719
mhc,15,kl_to_final,1.987654
mhc,16,kl_to_final,1.980325
mhc,17,kl_to_final,1.696303
mhc,18,kl_to_final,1.297216
mhc,19,kl_to_final,1.298039
mhc,20,kl_to_final,1.237066
mhc,21,kl_to_final,1.208163
mhc,22,kl_to_final,0.631020
mhc,23,kl_to_final,0.590601
mhc,24,kl_to_final,0.420532
mhc,25,kl_to_final,0.382203
mhc,26,kl_to_final,0.194320
mhc,27,kl_to_final,0.191067
mhc,28,kl_to_final,0.192242
mhc,29,kl_to_final,0.135485
mhc,30,kl_to_final,0.094338
mhc,31,kl_to_final,0.086346
mhc,32,kl_to_final,0.088209
mhc,33,kl_to_final,0.084067
mhc,34,kl_to_final,0.025378
mhc,35,kl_to_final,0.000000
mhc,0,top1_acc,0.153261
mhc,1,top1_acc,0.073390
mhc,2,top1_acc,0.042863
mhc,3,top1_acc,0.044377
mhc,4,top1_acc,0.041571
mhc,5,top1_acc,0.054149
mhc,6,top1_acc,0.075389
mhc,7,top1_acc,0.161599
mhc,8,top1_acc,0.202847
mhc,9,top1_acc,0.259156
mhc,10,top1_acc,0.274500
mhc,11,top1_acc,0.282718
mhc,12,top1_acc,0.289178
mhc,13,top1_acc,0.300727
mhc,14,top1_acc,0.315930
mhc,15,top1_acc,0.328104
mhc,16,top1_acc,0.334545
mhc,17,top1_acc,0.336544
mhc,18,top1_acc,0.336362
mhc,19,top1_acc,0.339047
mhc,20,top1_acc,0.335918
mhc,21,top1_acc,0.340198
mhc,22,top1_acc,0.354028
mhc,23,top1_acc,0.355805
mhc,24,top1_acc,0.360125
mhc,25,top1_acc,0.362730
mhc,26,top1_acc,0.367091
mhc,27,top1_acc,0.368060
mhc,28,top1_acc,0.367676
mhc,29,top1_acc,0.371553
mhc,30,top1_acc,0.374500
mhc,31,top1_acc,0.374985
mhc,32,top1_acc,0.375631
mhc,33,top1_acc,0.375974
mhc,34,top1_acc,0.380497
mhc,35,top1_acc,0.380981
mhc,0,mean_logp_true,-11.132224
mhc,1,mean_logp_true,-10.401621
mhc,2,mean_logp_true,-10.153693
mhc,3,mean_logp_true,-10.311637
mhc,4,mean_logp_true,-10.267003
mhc,5,mean_logp_true,-9.798058
mhc,6,mean_logp_true,-8.986253
mhc,7,mean_logp_true,-7.966706
mhc,8,mean_logp_true,-7.697115
mhc,9,mean_logp_true,-7.347867
mhc,10,mean_logp_true,-7.037327
