================================================================================
Model: mhc  (Realmbird/mhc-781m-mhc)
Prompt: 'The cat sat on the'
Top-5 tokens at last position, per layer × view
================================================================================
  L | attn_out                     | mlp_out                      | s0                           | s1                           | s2                           | s3                          
  0 | �(0.00)  of(0.00)  a(0.00)   |  practit(0.00) ktop(0.00) \x |  the(0.05)  a(0.01)  just(0. |  practit(0.00) ktop(0.00) \x |  practit(0.00) ktop(0.00) \x |  the(0.74)  a(0.05) ,(0.01) 
  1 | \x06(0.00) inement(0.00) ogy | \xa0\xa0(0.00) ########(0.00 | \x06(0.00)  same(0.00)  prac | \x06(0.00) ktop(0.00)  pract |  practit(0.00) \x06(0.00)  i |  the(0.04)  a(0.01)  most(0.
  2 |  reborn(0.00)  dying(0.00)   | ########(0.00) \xa0\xa0(0.00 |  reborn(0.00)  dying(0.00)   | \x06(0.00)  practit(0.00) (0 |  practit(0.00) \x06(0.00)  i |  same(0.00)  latter(0.00)  p
  3 |  havens(0.00)  reborn(0.00)  |  guiIcon(0.00) \xa0\xa0(0.00 |  reborn(0.00)  havens(0.00)  | \x06(0.00)  practit(0.00) (0 |  practit(0.00) VIDIA(0.00)   |  same(0.00)  practit(0.00)  
  4 |  of(0.01)  scene(0.00) onic( | ########(0.00) 覚醒(0.00) avor |  reborn(0.00)  havens(0.00)  | \x06(0.00)  practit(0.00) (0 |  practit(0.00) VIDIA(0.00)   |  same(0.00) ########(0.00)  
  5 |  yesterd(0.00)  while(0.00)  |  DevOnli(0.00) taboola(0.00) |  reborn(0.00) }:(0.00)  have | \x06(0.00) (0.00)  practit(0 |  practit(0.00) VIDIA(0.00)   | (0.00) ########(0.00) █(0.00
  6 |  sidelin(0.00)  side(0.00)   |  opposit(0.00)  top(0.00) is |  reborn(0.00) }:(0.00)  have |  same(0.00)  sidelin(0.00)   |  practit(0.00) \x06(0.00) VI | ▄(0.00)  wrong(0.00) (0.00) 
  7 |  until(0.00)  he(0.00)  but( |  receivi(0.00)  deck(0.00)   |  reborn(0.00)  dying(0.00)   |  shoulde(0.00)  lookout(0.00 |  practit(0.00) \x06(0.00) \x |  top(0.00)  edge(0.00)  hand
  8 |  his(0.00)  she(0.00)  he(0. |  bench(0.00)  sidelin(0.00)  |  side(0.00)  deck(0.00)  pol |  ground(0.00)  shoulde(0.00) | \x06(0.00)  practit(0.00) \x |  bench(0.00)  floor(0.00)  g
  9 | ..."(0.00) \n\n(0.00)  Rowli | on(0.00) able(0.00) es(0.00) |  side(0.00)  pole(0.00)  dec |  shoulde(0.00)  sidelin(0.00 | \x06(0.00)  practit(0.00)  i |  bench(0.00)  floor(0.00)  g
 10 |  sitting(0.00)  seat(0.00)   |  laure(0.00)  Ground(0.00)   |  side(0.00)  pole(0.00)  fro |  ground(0.00)  bench(0.00)   |  practit(0.00) \x06(0.00)  i |  bench(0.00)  ground(0.00)  
 11 |  his(0.00)  he(0.00)  she(0. |  counter(0.00)  back(0.00)   |  side(0.00)  front(0.00)  de |  bench(0.00)  ground(0.00)   |  practit(0.00) \x06(0.00)  A |  bench(0.00)  ground(0.00)  
 12 |  cat(0.00)  cats(0.00)  Cats |  floor(0.00)  edge(0.00)  co |  side(0.00)  front(0.00)  de |  bench(0.00)  ground(0.00)   |  same(0.00)  practit(0.00) \ |  bench(0.00)  ground(0.00)  
 13 |  cat(0.14)  cats(0.03)  Cat( |  wide(0.00)  me(0.00)  gas(0 |  side(0.00)  front(0.00)  le |  bench(0.00)  ground(0.00)   |  same(0.00)  practit(0.00) \ |  bench(0.00)  counter(0.00) 
