================================================================================
Model: mhc_lite  (Realmbird/mhc-781m-mhc-lite)
Prompt: 'The cat sat on the'
Top-5 tokens at last position, per layer × view
================================================================================
  L | attn_out                     | mlp_out                      | s0                           | s1                           | s2                           | s3                          
  0 | ,(0.02)  and(0.01)  a(0.01)  |  latter(0.00)  same(0.00)  s |  same(0.00)  latter(0.00)  w |  same(0.00)  latter(0.00)  w |  the(0.95)  a(0.02)  an(0.00 |  first(0.01)  more(0.00)  co
  1 |  one(0.00)  time(0.00)  line |  latter(0.00)  same(0.00) GG |  latter(0.00)  same(0.00)  w |  same(0.00)  whole(0.00)  fi |  the(0.01)  first(0.01)  mor |  whole(0.00)  time(0.00)  co
  2 |  lifetim(0.00)  life(0.00)   | oresc(0.00) zbek(0.00) elsiu |  latter(0.00)  same(0.00)  w |  same(0.00)  whole(0.00)  fi |  first(0.00)  other(0.00)  s |  partner(0.00)  bi(0.00)  li
  3 |  lifetim(0.00)  Eco(0.00) :, |  same(0.00)  conduc(0.00)  g |  latter(0.00)  same(0.00)  w |  same(0.00)  latter(0.00)  w |  first(0.00)  other(0.00)  m |  lifetim(0.00)  lasting(0.00
  4 | hest(0.00) iest(0.00)  surve |  latter(0.00) ses(0.00) opez |  latter(0.00)  same(0.00)  w |  latter(0.00)  same(0.00)  w |  first(0.00)  last(0.00)  fr |  lifetim(0.00)  lasting(0.00
  5 | iest(0.00) umption(0.00) hes | ses(0.00)  exempla(0.00)  st |  latter(0.00)  same(0.00)  w |  latter(0.00)  same(0.00)  w |  side(0.00)  three(0.00)  fr |  lifetim(0.00)  lasting(0.00
  6 |  side(0.00)  occasio(0.00)   |  top(0.00) nm(0.00)  front(0 |  same(0.00)  latter(0.00)  w |  latter(0.00)  same(0.00)  w |  front(0.00)  side(0.00)  to |  lifetim(0.00)  lasting(0.00
  7 |  side(0.00)  until(0.00)  fl |  spot(0.00)  sill(0.00) pell |  same(0.00)  latter(0.00)  w |  same(0.00)  latter(0.00)  w |  side(0.00)  floor(0.00)  fr |  lifetim(0.00) :,(0.00)  las
  8 |  she(0.00)  her(0.00)  he(0. |  front(0.00)  corner(0.00)   |  same(0.00)  latter(0.00)  w |  same(0.00)  latter(0.00)  w |  front(0.00)  side(0.00)  fl |  lifetim(0.00) :,(0.00)  dyi
  9 |  was(0.00)  didn(0.00)  wasn | aid(0.00)  brink(0.00)  insu |  same(0.00)  latter(0.00)  w |  same(0.00)  opposit(0.00)   |  floor(0.00)  front(0.00)  b | :,(0.00)  dying(0.00)  lifet
 10 |  was(0.00)  wasn(0.00)  didn |  sidelin(0.00) hest(0.00)  l |  same(0.00)  latter(0.00) am |  same(0.00)  opposit(0.00)   |  bench(0.00)  floor(0.00)  f | :,(0.00)  dying(0.00)  Valia
 11 |  his(0.01)  her(0.01)  was(0 |  ground(0.00)  backs(0.00)   |  same(0.00)  latter(0.00)  w |  same(0.00)  opposit(0.00)   |  bench(0.00)  front(0.00)  f |  front(0.00)  dying(0.00)  s
 12 |  her(0.00)  she(0.00)  night |  floor(0.00)  doorste(0.00)  |  same(0.00)  latter(0.00)  w |  same(0.00)  opposit(0.00)   |  bench(0.00)  floor(0.00)  f |  front(0.00)  side(0.00)  ne
 13 |  dog(0.00)  pet(0.00)  anima |  verge(0.00)  unsub(0.00)  b |  same(0.00)  latter(0.00)  o |  opposit(0.00)  same(0.00)   |  bench(0.00)  floor(0.00)  s |  front(0.00)  side(0.00)  ne
 14 |  cats(0.01)  cat(0.00)  Cat( |  couch(0.00)  ground(0.00) c |  same(0.00)  latter(0.00)  o |  bench(0.00)  opposit(0.00)  |  bench(0.00)  floor(0.00)  s |  front(0.00)  side(0.00)  ne
