layer,static_alpha_fro,static_alpha_mean,static_beta_fro,static_beta_mean,dynamic_alpha_fro,dynamic_beta_fro,h_post_scale,pre_branch_scale,residual_scale
0,23.54365348815918,4.232247829437256,2.0094077587127686,1.00390625,6.8478593826293945,3.8747730255126953,0.052734375,0.1552734375,0.12890625
1,23.626476287841797,4.264758586883545,2.042401075363159,1.0205078125,7.264286518096924,3.919142246246338,0.072265625,0.10595703125,0.123046875
2,23.66292953491211,4.272497653961182,2.0392158031463623,1.0185546875,6.748705863952637,3.3792951107025146,0.0810546875,0.10986328125,0.1279296875
3,23.67704963684082,4.273705959320068,2.125692844390869,1.0615234375,8.665329933166504,5.0002031326293945,0.1279296875,0.10986328125,0.146484375
4,23.672122955322266,4.286059856414795,2.1561543941497803,1.0732421875,8.581099510192871,5.745266437530518,0.0888671875,0.11181640625,0.169921875
5,23.718984603881836,4.2904052734375,2.0352611541748047,1.0166015625,10.031529426574707,3.561103105545044,0.087890625,0.11083984375,0.1865234375
6,23.723981857299805,4.283740520477295,1.9500210285186768,0.974609375,10.435909271240234,5.035541534423828,0.10693359375,0.1025390625,0.171875
7,23.693748474121094,4.268945217132568,2.0439059734344482,1.021484375,9.83438777923584,5.089015483856201,0.10498046875,0.126953125,0.173828125
8,23.734893798828125,4.285473823547363,1.9650806188583374,0.982421875,10.36290454864502,4.642323970794678,0.0849609375,0.10791015625,0.255859375
9,23.752689361572266,4.284216403961182,1.9729695320129395,0.986328125,10.01221752166748,4.842422962188721,0.109375,0.1279296875,0.1669921875
10,23.73504638671875,4.285101413726807,1.990444302558899,0.9951171875,9.047718048095703,5.123969078063965,0.11572265625,0.1396484375,0.1923828125
11,23.735607147216797,4.285693645477295,2.012101650238037,1.005859375,9.017474174499512,4.731110572814941,0.1181640625,0.1416015625,0.205078125
12,23.808040618896484,4.294445991516113,2.01409912109375,1.0068359375,10.192827224731445,4.734166622161865,0.1572265625,0.154296875,0.15234375
13,23.751293182373047,4.28643798828125,2.008708953857422,1.00390625,10.055906295776367,4.421098709106445,0.1494140625,0.1474609375,0.1640625
14,23.789710998535156,4.294213771820068,1.9285049438476562,0.9638671875,10.985876083374023,4.7773118019104,0.1513671875,0.1396484375,0.1904296875
15,23.788331985473633,4.288610935211182,2.1658387184143066,1.080078125,9.824052810668945,7.2078657150268555,0.10205078125,0.11767578125,0.1591796875
16,23.734949111938477,4.278943061828613,1.9533828496932983,0.9765625,8.215922355651855,4.805840969085693,0.169921875,0.12890625,0.1787109375
17,23.892030715942383,4.320436000823975,2.1662471294403076,1.08203125,10.136974334716797,6.835677623748779,0.109375,0.06787109375,0.2060546875
18,23.847919464111328,4.2976837158203125,2.2296717166900635,1.11328125,7.866544246673584,7.107484340667725,0.1689453125,0.053955078125,0.1806640625
19,23.78166389465332,4.293725490570068,2.004096508026123,1.0009765625,6.273191452026367,6.802745819091797,0.109375,0.0986328125,0.232421875
20,23.817516326904297,4.302359104156494,2.125617504119873,1.060546875,6.206431865692139,6.322972297668457,0.18359375,0.09814453125,0.193359375
21,23.807750701904297,4.304059028625488,1.9919462203979492,0.9951171875,6.111315727233887,6.184671878814697,0.1328125,0.062255859375,0.2001953125
22,23.825693130493164,4.3094482421875,2.1992151737213135,1.09765625,6.137208461761475,6.119760513305664,0.171875,0.0546875,0.20703125
23,23.820823669433594,4.301001071929932,2.206972599029541,1.1015625,5.985440254211426,5.570868015289307,0.1884765625,0.07470703125,0.2255859375
24,23.82338523864746,4.304284572601318,2.119985580444336,1.0576171875,7.383439540863037,6.350149154663086,0.1044921875,0.1025390625,0.232421875
25,23.837310791015625,4.313818454742432,2.097623586654663,1.04296875,6.0167012214660645,5.595576763153076,0.1630859375,0.0869140625,0.1962890625
26,23.829700469970703,4.301318645477295,2.1181674003601074,1.056640625,7.661040782928467,5.851131439208984,0.1103515625,0.09814453125,0.236328125
27,23.83562660217285,4.298633098602295,2.170022964477539,1.0830078125,6.682147979736328,5.151052474975586,0.1806640625,0.07763671875,0.216796875
28,23.83519172668457,4.296411037445068,2.2104439735412598,1.1005859375,7.41755485534668,5.743852615356445,0.1298828125,0.06103515625,0.224609375
29,23.822063446044922,4.300586223602295,2.107435464859009,1.05078125,7.327372074127197,5.683046817779541,0.1083984375,0.10595703125,0.212890625
30,23.799482345581055,4.290332317352295,2.1932575702667236,1.0947265625,6.816018581390381,5.083778381347656,0.1669921875,0.07568359375,0.2060546875
31,23.783069610595703,4.28948974609375,2.200214147567749,1.09765625,6.9650115966796875,5.39046049118042,0.2001953125,0.0791015625,0.1943359375
32,23.778457641601562,4.2940673828125,2.1688272953033447,1.0830078125,7.1713666915893555,5.256251811981201,0.1533203125,0.083984375,0.181640625
33,23.77558708190918,4.288891792297363,2.1716501712799072,1.08203125,7.739689350128174,5.420129299163818,0.12109375,0.076171875,0.1728515625
34,23.76504135131836,4.294568061828613,2.161536693572998,1.07421875,7.5883588790893555,5.708282947540283,0.0966796875,0.0732421875,0.166015625
35,23.71390724182129,4.275671482086182,1.982886552810669,0.9892578125,7.186389923095703,5.018527030944824,0.0830078125,0.08251953125,0.2060546875
