layer,mean_r2_linear_off_diag,mean_r2_mlp_off_diag,min_r2_linear_off_diag,min_r2_mlp_off_diag
0,0.715297,0.230782,0.453241,0.002644
1,0.754538,0.161177,0.516808,-0.103376
2,0.836470,0.017916,0.638338,-1.074627
3,0.849310,-0.158867,0.722258,-2.678045
4,0.831351,0.050007,0.665576,-0.903671
5,0.823487,0.021016,0.531564,-1.080162
6,0.790533,0.014055,0.552215,-1.152279
7,0.747508,0.113347,0.407400,-0.238721
8,0.779986,0.155121,0.560650,-0.008358
9,0.772574,0.175163,0.619653,0.009908
10,0.790051,0.214587,0.636362,0.099913
11,0.825039,0.263253,0.669142,0.158873
12,0.825261,0.281389,0.697934,0.176100
13,0.844770,0.308388,0.742281,0.207614
14,0.878256,0.321576,0.810346,0.231231
15,0.877941,0.332872,0.824772,0.224242
16,0.887985,0.318777,0.831682,0.196700
17,0.889204,0.377374,0.798760,0.105988
18,0.916697,0.411508,0.812295,-0.134386
19,0.920137,0.395930,0.830306,-0.140445
20,0.918136,0.404929,0.832817,-0.139029
21,0.920518,0.408648,0.839769,-0.119495
22,-38.947987,0.112288,-223.268494,-0.572127
23,-46.587681,0.093286,-270.634216,-0.648059
24,-292.895844,0.102454,-1558.851196,-0.648537
25,-2.965517,0.087393,-19.717125,-0.647496
26,-44.631882,0.093125,-263.316803,-0.650509
27,-2.199457,0.093615,-16.059980,-0.649282
28,-169.590652,0.091269,-915.618835,-0.650981
29,-3.585379,0.091422,-21.898211,-0.655892
30,-1.790057,0.071746,-14.129692,-0.669774
31,-17.947538,0.066296,-107.199516,-0.670464
32,-7.021238,0.054020,-45.012493,-0.675401
33,-3.676487,0.041453,-25.037609,-0.675020
34,-2.760495,0.041080,-18.918314,-0.687922
35,-7.217688,0.043908,-40.662819,-0.749031
