layer,static_alpha_fro,static_alpha_mean,static_beta_fro,static_beta_mean,dynamic_alpha_fro,dynamic_beta_fro,h_post_scale,pre_branch_scale,residual_scale
0,38.29368591308594,6.684448719024658,1.9937341213226318,0.99609375,6.7251296043396,3.5395946502685547,0.054443359375,0.1298828125,0.08251953125
1,38.51456069946289,6.7282915115356445,2.0670559406280518,1.0322265625,7.363440990447998,4.2941365242004395,0.07421875,0.06884765625,0.06884765625
2,38.677024841308594,6.759190559387207,2.113266706466675,1.0537109375,4.096166133880615,5.170608997344971,0.08203125,0.0732421875,0.1318359375
3,38.83435821533203,6.786220073699951,2.141697406768799,1.0673828125,6.4637250900268555,6.291179656982422,0.12158203125,0.107421875,0.1494140625
4,38.89340591430664,6.804617881774902,2.081958055496216,1.0400390625,6.606834888458252,4.076735019683838,0.10009765625,0.103515625,0.1904296875
5,38.907012939453125,6.799769878387451,1.985239863395691,0.9912109375,6.827167987823486,3.374013662338257,0.0947265625,0.1181640625,0.1826171875
6,38.770179748535156,6.782191753387451,2.057600259780884,1.0283203125,9.20008659362793,4.850687503814697,0.11572265625,0.10302734375,0.1572265625
7,38.86368942260742,6.790408611297607,1.9943653345108032,0.9970703125,9.01269817352295,5.288851737976074,0.111328125,0.12353515625,0.125
8,39.004913330078125,6.813904285430908,1.9710699319839478,0.9853515625,7.293025493621826,4.895998477935791,0.1025390625,0.11669921875,0.1279296875
9,38.655662536621094,6.761631965637207,1.9752999544143677,0.9873046875,4.787740230560303,4.630343914031982,0.1611328125,0.1318359375,0.330078125
10,38.64075469970703,6.756906032562256,2.014629364013672,1.0068359375,4.404394626617432,5.216894149780273,0.1376953125,0.12890625,0.353515625
11,38.66720199584961,6.761910915374756,1.987099051475525,0.9931640625,4.7300872802734375,4.653317451477051,0.1494140625,0.1572265625,0.29296875
12,38.67770004272461,6.760847091674805,1.9662760496139526,0.982421875,4.613232135772705,5.1745500564575195,0.1455078125,0.125,0.306640625
13,38.70319366455078,6.765206813812256,1.9656240940093994,0.982421875,4.521831512451172,5.024543285369873,0.1396484375,0.12158203125,0.318359375
14,38.69508361816406,6.7699151039123535,1.9542183876037598,0.9765625,4.321070194244385,5.662205219268799,0.1328125,0.1728515625,0.306640625
15,38.69549560546875,6.770298957824707,1.969796061515808,0.984375,4.538473606109619,5.474344730377197,0.1396484375,0.12353515625,0.318359375
16,38.695194244384766,6.769810676574707,1.9742683172225952,0.986328125,4.541778564453125,5.4722161293029785,0.16796875,0.1435546875,0.306640625
17,39.019187927246094,6.817906379699707,1.979189395904541,0.9892578125,7.447298049926758,5.385714530944824,0.1513671875,0.12109375,0.162109375
18,38.705116271972656,6.768311023712158,2.054305076599121,1.0263671875,4.034069061279297,5.879129409790039,0.1552734375,0.10498046875,0.333984375
19,38.70701217651367,6.771240711212158,1.972722053527832,0.986328125,4.0068769454956055,5.603132247924805,0.16015625,0.1416015625,0.33984375
20,38.703704833984375,6.766880989074707,2.0981907844543457,1.048828125,4.232492446899414,6.190454483032227,0.158203125,0.0927734375,0.361328125
21,38.707740783691406,6.772461414337158,1.99052095413208,0.9951171875,4.099676609039307,6.051957130432129,0.1337890625,0.109375,0.36328125
22,38.70781326293945,6.772984504699707,2.0083444118499756,1.00390625,4.05225133895874,5.965985298156738,0.109375,0.09814453125,0.37890625
23,38.73193359375,6.774972438812256,2.195993661880493,1.09765625,3.7418134212493896,6.314478397369385,0.1337890625,0.06787109375,0.384765625
24,38.74897766113281,6.782435894012451,2.1004767417907715,1.0478515625,4.414824485778809,5.246440887451172,0.07763671875,0.08154296875,0.30859375
25,38.83441925048828,6.790004253387451,2.1701459884643555,1.083984375,4.5365400314331055,5.325847625732422,0.1884765625,0.0830078125,0.294921875
26,38.86058044433594,6.794782638549805,2.1671767234802246,1.08203125,4.477431297302246,5.358014106750488,0.1328125,0.08740234375,0.287109375
27,38.887882232666016,6.800955772399902,2.173128604888916,1.0830078125,4.755303859710693,6.868071556091309,0.142578125,0.08935546875,0.28125
28,38.84955978393555,6.795270919799805,2.2939233779907227,1.14453125,4.45366096496582,5.891228675842285,0.171875,0.08740234375,0.296875
29,38.89975357055664,6.801723003387451,2.1742517948150635,1.0830078125,4.344669818878174,5.075218200683594,0.1318359375,0.0908203125,0.3125
30,38.91446304321289,6.806675910949707,2.2653186321258545,1.1259765625,4.799429416656494,6.739259719848633,0.1328125,0.080078125,0.310546875
31,38.88975524902344,6.803711414337158,2.280795097351074,1.13671875,4.398431777954102,5.596045970916748,0.138671875,0.0869140625,0.32421875
32,38.91264343261719,6.803955554962158,2.2209529876708984,1.1064453125,4.311174392700195,5.349464416503906,0.123046875,0.07275390625,0.33203125
33,38.87615203857422,6.800293445587158,2.087926149368286,1.041015625,4.638404369354248,4.2476115226745605,0.09619140625,0.08251953125,0.3125
34,38.99179458618164,6.814523220062256,2.2021689414978027,1.099609375,6.172753810882568,5.701148986816406,0.1279296875,0.0751953125,0.18359375
35,38.88639831542969,6.797084331512451,2.0270726680755615,1.0126953125,4.84979772567749,3.6600842475891113,0.0625,0.080078125,0.25
